PG.ProteinGroups,PG.Genes,[1] HN1.raw.PG.MS2Channel1,[2] HN2.raw.PG.MS2Channel1,[3] HN3.raw.PG.MS2Channel1,[4] HN4.raw.PG.MS2Channel1,[5] HS1.raw.PG.MS2Channel1,[6] HS3.raw.PG.MS2Channel1,[7] HS4.raw.PG.MS2Channel1,[8] LN1.raw.PG.MS2Channel1,[9] LN2.raw.PG.MS2Channel1,[10] LN3.raw.PG.MS2Channel1,[11] LN4.raw.PG.MS2Channel1,[12] LS1.raw.PG.MS2Channel1,[13] LS2.raw.PG.MS2Channel1,[14] LS3.raw.PG.MS2Channel1,[15] LS4.raw.PG.MS2Channel1,[1] HN1.raw.PG.MS2Channel3,[2] HN2.raw.PG.MS2Channel3,[3] HN3.raw.PG.MS2Channel3,[4] HN4.raw.PG.MS2Channel3,[5] HS1.raw.PG.MS2Channel3,[6] HS3.raw.PG.MS2Channel3,[7] HS4.raw.PG.MS2Channel3,[8] LN1.raw.PG.MS2Channel3,[9] LN2.raw.PG.MS2Channel3,[10] LN3.raw.PG.MS2Channel3,[11] LN4.raw.PG.MS2Channel3,[12] LS1.raw.PG.MS2Channel3,[13] LS2.raw.PG.MS2Channel3,[14] LS3.raw.PG.MS2Channel3,[15] LS4.raw.PG.MS2Channel3
A0A0B4J2D5;P0DPI2,GATD3B;GATD3A,18322.78711,20386.89648,20009.35352,16944.21289,17015.84375,30292.94922,27906.33203,17081.53516,21325.11133,14274.08594,21017.1875,16727.13281,13716.62988,15066.06055,12893.41992,42.93477249,122.7781982,135.9461517,205.1840057,140.9319458,14.63055706,229.5451355,8.9198246,17.02972984,1.039467216,138.2822266,68.20549011,1,56.15487671,13.3694067
A0A0U1RR11;A0A0U1RRI6;P0DPI3,CENPVL1;CENPVL3;CENPVL2,NaN,NaN,NaN,NaN,2875.653809,3963.501953,3672.494141,NaN,NaN,NaN,NaN,1673.703125,NaN,13166.14453,NaN,NaN,NaN,NaN,NaN,125.1149368,103.3736877,20.63394356,NaN,NaN,NaN,NaN,53.75937271,NaN,1,NaN
A0A1B0GVG4,CCDC194,NaN,NaN,NaN,NaN,19947.50391,15521.67383,17553.83984,NaN,NaN,NaN,NaN,3769.448975,8640.777344,11564.18848,15759.12012,NaN,NaN,NaN,NaN,1103.327393,585.3366089,1490.106201,NaN,NaN,NaN,NaN,40.03487015,770.394043,326.243866,480.7163696
A0AVF1,TTC26,NaN,1,1,1,1,NaN,NaN,NaN,NaN,NaN,246.8109283,1,1358.270752,NaN,NaN,NaN,1,1,1,1,NaN,NaN,NaN,NaN,NaN,1,1,1.059194207,NaN,NaN
A0AVT1,UBA6,15738.17578,17246.41016,16478.16992,16842.66211,13660.06543,12175.01367,13274.62305,18038.30078,18910.6875,19122.54492,15365.40527,11348.29395,13044.04688,13219.89941,13468.67285,97.45174408,1,1,51.5226326,211.8245392,63.02917099,35.67843628,1,1.222795486,1.02956152,1,92.60570526,36.09207535,20.32297134,13.87876511
A0FGR8,ESYT2,16663.23242,16387.46875,15411.55176,16199.98633,12862.39063,10199.07129,10003.98047,16573.32813,22082.05273,21648.08984,16420.85938,11830.2998,13543.4502,11623.07031,12214.86035,574.1727905,454.2952881,384.0686035,521.3718262,191.5905914,350.3676147,315.1703796,492.5336304,586.4798584,562.8453369,77.06280518,351.51828,74.96504974,146.6988831,297.9197083
A0JLT2,MED19,NaN,NaN,NaN,NaN,2035.208984,2657.041504,2990.065918,NaN,NaN,NaN,NaN,2172.754395,3343.080566,3556.884766,2201.391846,NaN,NaN,NaN,NaN,810.4697876,651.3891602,233.1152649,NaN,NaN,NaN,NaN,1,1241.075684,676.3342896,347.8414307
A0JNW5,UHRF1BP1L,2166.286133,2546.743408,2342.542236,1800.299561,497.7280884,1109.538452,703.234314,2429.385498,2616.942139,2157.250977,2664.580566,823.3795776,960.4918213,693.6881104,845.3762817,44.06250381,1,23.27812958,59.66456604,42.51044083,67.61361694,37.00561142,297.3190308,217.4684753,56.41371918,1,15.97647762,1,1,424.5581055
A0MZ66,SHTN1,15086.4375,15352.80371,15105.83984,16867.14648,8014.786621,7779.741211,6308.025391,18697.19531,19094.58984,18777.24023,16553.10938,9181.930664,9261.689453,8049.859375,7904.96875,335.52005,134.6424866,1,369.4085693,98.04803467,1,308.7093201,63.76234055,84.574646,27.63998604,32.1396637,37.51322556,1,109.5350266,19.91135979
A0PJW6,TMEM223,927.3522339,847.8431396,762.222168,545.3913574,1970.921509,2380.060303,1127.769653,589.3057861,935.0934448,1576.990112,1163.091797,1097.381104,1845.637939,1683.812744,916.0838013,1,1,1,1,60.2263298,42.72232819,154.9190674,1,1.008576393,1,1,149.1444244,114.5755005,1,82.70179749
A0PK00,TMEM120B,3346.104492,1815.636719,5861.324707,3946.640625,1598.699707,2848.206543,2561.355957,2731.727051,4753.74707,4675.212402,1639.02417,2246.367676,4236.89209,4751.062988,2984.338623,432.2940674,42.07825089,1106.88855,213.7311096,1,125.5288391,153.7432709,149.838501,43.25467682,1.01263237,88.0167923,97.76634979,309.4978943,420.858429,55.15693283
A1A5C7,SLC22A23,3933.774902,3692.635498,4328.656738,4064.288086,1697.350342,2197.648926,2468.867188,3631.068848,4331.092285,3238.96167,3029.793213,NaN,891.4263916,1627.156616,2834.916016,9.717672348,186.9479218,33.07049942,398.0415039,1,335.7687988,93.13022614,192.3399048,161.3206482,48.54641342,1,NaN,293.205658,1,299.2460022
A1L020,MEX3A,781.5107422,905.8951416,542.8597412,640.4052124,4913.933594,4390.981445,5090.003418,NaN,NaN,NaN,1265.860474,4995.092285,4943.553223,4181.716309,3892.455566,83.49100494,244.8449707,1,1,215.2690277,1,1,NaN,NaN,NaN,1.00131166,1,1,1,103.4302597
A1L0T0,ILVBL,7592.85791,7284.446777,7429.692871,10514.49316,7926.425293,8877.203125,8606.170898,11606.63477,12908.00195,10371.59766,7988.875,6372.857422,6393.120605,7074.021973,7660.330566,56.91839981,1,58.11955643,516.6647339,505.664917,462.2731323,442.3592529,406.3643494,498.4968567,426.4051208,358.1731873,509.7547302,1,1,321.34021
A1L390,PLEKHG3,NaN,NaN,NaN,NaN,306.6198425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.163805842,1,519.9788818,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.163805842,1,1
A1X283,SH3PXD2B,14947.51367,13363.125,14913.28027,15372.96484,11337.71973,9558.832031,9462.397461,16401.47266,16670.4043,13973.85742,16760.21094,9165.333984,10136.94727,9833.873047,10007.35645,289.7066345,235.0060272,379.274292,374.8395996,172.1448517,88.47698975,79.3012619,149.1581726,35.49668884,56.51491547,190.2733765,1,1,1,22.83948326
A1Z1Q3,MACROD2,3065.999512,3791.805664,4043.644287,3539.305176,5153.577148,2404.473877,2663.030762,3284.521729,3108.79541,5158.88623,3428.830078,8851.979492,3032.757324,2751.229004,2123.124268,1,96.15643311,1,1,1,1,137.3551483,1,1.051053166,1.176202297,1,1,1,1,1
A2A3K4,PTPDC1,1610.833374,866.3407593,1016.403931,1043.643311,594.8070679,1494.618652,358.9201965,4863.581055,7262.614746,1172.121216,1196.614624,1251.081787,1137.726074,528.7953491,1037.345093,1,1,1,1,1,1,1,1,1.222477794,1,1,1,1,1,1
A2AJT9,BCLAF3,NaN,NaN,NaN,853.4569702,2866.356201,1715.939209,1625.821899,NaN,564.0397949,NaN,NaN,3661.417236,2649.934814,2953.524414,2280.465576,NaN,NaN,NaN,8323.467773,8811.054688,2615.247314,5726.410156,NaN,5924.907227,NaN,NaN,17534.20898,17737.44727,6734.224121,21479.83008
A2RRP1,NBAS,2968.35498,3355.353516,3071.015869,3167.977051,6126.692871,5305.538086,5082.046387,3093.397949,2879.881348,2011.919434,3355.199219,5105.144043,5298.725586,5554.391602,4347.224609,1,1,1,1,1,1,1,90.48661041,178.8493805,1,1,1,1,1,1
A2RTX5,TARS3,NaN,446.9808655,NaN,684.388916,1546.380005,1351.286987,1452.232666,1209.507202,9424.885742,NaN,2824.22168,3770.804688,1597.26062,1527.88208,1479.020264,NaN,713.6687622,NaN,1,1,16.08285713,1,1,1.184216857,NaN,144.3009644,1,20.46794319,1,1
A2RU67,FAM234B,NaN,NaN,NaN,NaN,NaN,104.3048782,181.8818512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,45.40710449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A2RUC4,TYW5,1375.550415,1472.283203,1475.188354,2008.322998,1421.414551,1639.949341,1496.877563,2185.991699,3005.742432,1306.28833,1011.347534,2168.899658,1722.924683,1264.343628,1677.946533,153.2042084,463.1589355,898.6208496,1523.059814,186.4162598,1,1128.001587,564.6596069,1.099061847,665.531311,873.3937988,333.4242249,377.5029602,219.3739014,359.7236328
A3KMH1,VWA8,1276.383667,1342.294189,1209.116211,1423.967773,2190.910889,1950.495728,2252.102783,908.7209473,1813.025024,815.715332,1134.498779,1798.971924,1684.046997,1489.458618,1604.231934,1,1,1,59.84933472,1,12.45019627,1,1,1.273695946,1.048405528,1,1,1,1,1
A3KN83,SBNO1,NaN,NaN,NaN,NaN,1591.420288,1688.011963,1469.242432,NaN,NaN,NaN,NaN,1791.819702,1642.94812,1572.36377,1217.916504,NaN,NaN,NaN,NaN,334.0612183,305.9396667,305.5735779,NaN,NaN,NaN,NaN,475.4451904,541.2643433,206.904892,451.1842346
A4D126,CRPPA,688.0721436,1808.156006,1714.810181,1570.491333,NaN,1,NaN,NaN,NaN,NaN,1678.538452,NaN,NaN,331.9519653,NaN,441.0339661,873.3807983,1,317.5756836,NaN,1341.324463,NaN,NaN,NaN,NaN,93.78468323,NaN,NaN,1131.672485,NaN
A4D161,FAM221A,NaN,1,252.5202179,226.2848206,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,NaN,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A4D1E9,GTPBP10,2091.671631,1018.761597,2253.350586,1672.747925,2617.922607,5179.776855,5289.536133,1183.519653,2480.751709,2501.80542,956.105835,2688.876709,2310.699951,2860.083496,2405.349121,1,1,1,62.39810181,1,389.5699463,339.6384888,1,365.5142212,1.071105242,1,1,1,1,1
A4D1P6,WDR91,10231.13086,12224.21289,10754.20996,2714.64209,9772.157227,8973.670898,8015.333008,10434.09961,3563.196533,7346.321777,12605.80762,10125.69043,9629.092773,9216.389648,8275.8125,1,1,1,1,1,1,1,1,1.195340753,1.036584973,1,1,1,1,1
A4D1U4,DENND11,866.5918579,1905.654297,827.3493652,894.3562622,890.6230469,1166.794922,241.3021545,1515.793457,NaN,NaN,1435.446777,807.3115234,1379.047852,NaN,NaN,271.697998,1,1,118.9753342,123.192215,1,175.9150391,36.25695419,NaN,NaN,1,181.0387573,1,NaN,NaN
A5D8V7,ODAD3,3021.824951,15325.1875,NaN,13317.62012,8575.480469,5284.898926,4359.368164,13498.91406,NaN,NaN,19137.16016,18906.13672,10180.9834,9033.358398,6042.818848,343.4417114,1,NaN,349.9978027,1,163.776123,404.1698914,175.6390381,NaN,NaN,1,1,1,1,1
A5PKW4,PSD,568.8378296,560.2449951,NaN,1078.976196,2477.385254,1690.280029,2135.773438,313.7525024,718.3062744,NaN,866.7195435,4322.200195,3867.986572,1480.156006,2429.077393,1,1,NaN,32.99697876,53.28635025,1,1,1,1.727905273,NaN,1,1,105.9287109,1.023097396,64.95223236
A5PLL7,PEDS1,2083.887695,1282.751221,1050.200806,935.5906372,2084.720459,1690.0979,2116.458496,2032.296021,NaN,NaN,905.6730347,1776.856934,2417.990234,2478.494873,1791.776611,1,1,1,1,1,1,1,1,NaN,NaN,1,1,1,1,1
A5PLN9,TRAPPC13,1438.294434,1111.517578,2312.085449,1515.950928,1529.214233,1431.482422,1494.306274,1118.317017,1780.985352,2690.844727,1576.272217,2350.820801,1723.526611,1905.139893,1856.474609,2341.85083,266.5234985,270.6450195,152.3347015,527.5747681,2781.859619,2322.125488,291.7583313,659.4847412,1,346.769989,1,23.00242996,390.6774902,810.6870117
A5YKK6,CNOT1,8919.152344,7564.550781,8310.694336,8594.507813,16592.74609,18011.15234,17616.57422,7428.021973,8476.863281,8141.532715,8453.443359,18206.51953,15818.68066,16983.64453,15514.44043,1,1,1,1,62.25951004,210.8791962,166.3987122,1,1.220408916,1.013153195,1,1,1,571.3063354,534.2522583
A6NC98,CCDC88B,NaN,11330.14941,11764.96582,12488.94922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5039.780762,NaN,NaN,6405.450195,NaN,1,1,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,1
A6NCE7;Q9GZQ8,MAP1LC3B2;MAP1LC3B,292816.1875,331924.8438,259747.4688,306497.5313,119392.3672,170092.4688,129022.5,255460.1719,302398.5313,324605.9375,317359.9688,35366.01563,159724.2344,168296.4844,125851.8906,149.1790924,1,1,125.9361572,1118.212402,1782.470947,1548.647217,1,1.075188279,1.063831687,1,1,1,1,1
A6NDB9,PALM3,4709.599609,5030.113281,4625.545898,3717.838623,683.9649658,684.1722412,951.5631714,3883.380859,4391.036621,6218.488281,3567.041748,916.1269531,1120.656738,1252.553345,333.5898438,764.211731,481.5280762,457.1503601,530.2299194,1,1,149.3707428,414.2215576,516.9043579,567.2757568,838.6848755,16.98279762,1,1044.467407,1
A6NDG6,PGP,8777.804688,11288.43555,12262.14355,13287.83398,7273.917969,4954.460938,4530.981445,6493.767578,8555.836914,14794.0918,12523.76953,7337.249023,7320.397949,8817.702148,8035.517578,405.5814209,137.436142,156.7386627,140.4629822,443.9951172,292.837677,204.9955292,21.34836388,68.81758881,1.044408798,1,477.4596252,261.1665649,263.346283,373.5209961
A6NDU8,C5orf51,1530.123779,2165.526367,2269.186035,1831.947021,1901.140137,2240.549072,1922.017212,1635.711914,2121.521484,1922.456177,1631.066528,2335.342285,1625.152222,1892.070435,1741.784058,1,1,7.701717377,1,18.53005028,1,1,23.88807678,1.255519271,1,1,1,1,1,41.99325943
A6NE01,FAM186A,NaN,NaN,NaN,NaN,NaN,922.3990479,1231.932129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.6421051,57.63841248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
A6NE02,BTBD17,991.302002,1524.165771,1028.141113,1598.329224,3942.47583,2566.54834,2422.877441,1382.439697,1028.999878,1659.320313,1255.151978,6215.710449,3218.400635,3050.861572,3206.951904,95.40518951,1,56.3106041,1,369.469635,389.8403625,484.5216064,63.89954758,247.5694122,1.212365627,1,1.274570823,14.79621029,1,1
A6NED2,RCCD1,NaN,NaN,NaN,325.5805664,652.2081299,853.3557129,777.8010254,NaN,NaN,NaN,NaN,1044.455322,1079.643677,1463.972534,653.7410278,NaN,NaN,NaN,3233.929199,1252.993652,1440.035767,1694.834351,NaN,NaN,NaN,NaN,1777.842163,1644.474609,1957.322754,1962.135864
A6NEY8,PRORSD1P,2703.46167,1,982.8057251,NaN,NaN,1540.472412,41.65133286,1,1.234724641,5637.054199,NaN,1037.689453,1101.119385,1112.244141,856.6015625,2416.178955,1,3332.276855,NaN,NaN,60.57696533,341.9493713,1,1.234724641,4356.833984,NaN,1,1004.455383,1138.115356,1361.702759
A6NFI3,ZNF316,NaN,NaN,NaN,NaN,768.8668213,859.8167114,804.7311401,NaN,NaN,NaN,NaN,2495.439453,1298.368286,2048.366943,1454.725586,NaN,NaN,NaN,NaN,161.257843,5.543201447,1,NaN,NaN,NaN,NaN,1.371615291,1,1,39.89196777
A6NFN3,RBFOX3,NaN,NaN,NaN,NaN,728.0418091,766.9668579,1001.817322,NaN,NaN,NaN,NaN,977.5286255,1527.505005,NaN,1362.814331,NaN,NaN,NaN,NaN,20.5794239,1,1,NaN,NaN,NaN,NaN,147.2097778,90.80319214,NaN,1
A6NGN9,IGLON5,12212.97363,13995.5498,11071.94434,8070.734863,3140.411865,5314.826172,3826.314453,13578.83398,17106.32813,22844.53906,12085.93848,3684.179932,8109.608398,4119.696777,4220.560059,1423.087524,905.1991577,801.093811,769.7766724,1185.80957,2251.987793,4355.984863,664.5158691,1370.643799,103.2339401,1069.830444,504.4776917,1237.123047,952.0264893,1455.115479
