"","PG.ProteinGroups","PG.Genes","[1] HN1.raw.PG.MS2Channel1","[2] HN2.raw.PG.MS2Channel1","[3] HN3.raw.PG.MS2Channel1","[4] HN4.raw.PG.MS2Channel1","[1] HN1.raw.PG.MS2Channel3","[2] HN2.raw.PG.MS2Channel3","[3] HN3.raw.PG.MS2Channel3","[4] HN4.raw.PG.MS2Channel3","logFC","AveExpr","t","P.Value","adj.P.Val","B","Group"
"1","A2RRP1","NBAS",2968.35498,3355.353516,3071.015869,3167.977051,NA,NA,NA,NA,11.6158460682809,5.80792303414045,78.0363130284196,1.50093405486038e-11,3.15763761791276e-10,10.3291303377429,"UP"
"2","A5YKK6","CNOT1",8919.152344,7564.550781,8310.694336,8594.507813,NA,NA,NA,NA,13.0245940198286,6.51229700991429,82.071532589728,1.05506103372088e-11,3.15763761791276e-10,10.3605388113863,"UP"
"3","A6NHL2","TUBAL3",123532.4609,112298.9297,99522.13281,91328.28125,NA,NA,NA,NA,16.6932684955414,8.34663424777071,77.1094835850615,1.6316904700173e-11,3.15763761791276e-10,10.3212510985231,"UP"
"4","O00116","AGPS",5479.331055,5169.321289,4472.469727,5509.333008,NA,NA,NA,NA,12.3277969700362,6.16389848501809,77.0034153602137,1.64746809156282e-11,3.15763761791276e-10,10.3203322347469,"UP"
"5","O00192","ARVCF",29550.16406,30576.20898,30397.19727,29066.75781,NA,NA,NA,NA,14.867481691507,7.43374084575348,84.2939905302683,8.75270120743658e-12,3.15763761791276e-10,10.3760370831434,"UP"
"6","O00291","HIP1",15211.0127,15672.67773,17369.00586,16966.4082,NA,NA,NA,NA,13.9909421884962,6.99547109424812,83.1255392314738,9.65003674274891e-12,3.15763761791276e-10,10.3680362002209,"UP"
"7","O00308","WWP2",4219.229492,4247.065918,4207.537109,5128.960938,NA,NA,NA,NA,12.1148828559698,6.05744142798489,76.0754734265642,1.79318912934262e-11,3.15763761791276e-10,10.3121385291253,"UP"
"8","O00429","DNM1L",105145.2656,110550.7656,98334.78125,97850.42188,NA,NA,NA,NA,16.6500336659354,8.3250168329677,82.8343400264084,9.88974561440438e-12,3.15763761791276e-10,10.3659919864299,"UP"
"9","O00471","EXOC5",13439.34082,14282.6748,13887.20801,14343.80176,NA,NA,NA,NA,13.7715437313767,6.88577186568834,85.3885915558822,7.99766104675129e-12,3.15763761791276e-10,10.3832503608286,"UP"
"10","O00505","KPNA3",26666.29492,29774.87891,29140.94336,26180.95703,NA,NA,NA,NA,14.7679337816931,7.38396689084657,82.3594322941121,1.0295427642712e-11,3.15763761791276e-10,10.3626138627449,"UP"
"11","O00507","USP9Y",29785.80078,30364.14648,29273.20117,29371.11133,NA,NA,NA,NA,14.8580039510658,7.42900197553292,84.4851747292631,8.61514447350431e-12,3.15763761791276e-10,10.3773162227369,"UP"
"12","O14617","AP3D1",8163.484375,9279.496094,10431.33691,9397.25293,NA,NA,NA,NA,13.1805209746153,6.59026048730763,78.8586204652099,1.39487283758237e-11,3.15763761791276e-10,10.3359024288048,"UP"
"13","O14672","ADAM10",5912.620117,6664.15332,5834.374512,7038.319336,NA,NA,NA,NA,12.631019488985,6.31550974449249,78.7621045326421,1.40686691851628e-11,3.15763761791276e-10,10.3351179428741,"UP"
"14","O14763","TNFRSF10B",5402.279785,5644.922852,5301.249512,5025.51709,NA,NA,NA,NA,12.3825863989339,6.19129319946694,82.469562472953,1.01996832890585e-11,3.15763761791276e-10,10.3634021808624,"UP"
"15","O14925","TIMM23",12494.01758,9912.791016,10303.90234,12198.56738,NA,NA,NA,NA,13.4474680054776,6.7237340027388,77.0594187705507,1.63911598135758e-11,3.15763761791276e-10,10.3208178352638,"UP"
"16","O14950;P19105","MYL12B;MYL12A",34774.0625,39044.23828,44349.44922,40832.44141,NA,NA,NA,NA,15.2731872804997,7.63659364024987,78.7938168081431,1.4029130662038e-11,3.15763761791276e-10,10.3353760022541,"UP"
"17","O15067","PFAS",26440.08984,23272.41406,24123.38867,27558.58594,NA,NA,NA,NA,14.6263401544781,7.31317007723903,81.3094604568966,1.12617122581564e-11,3.15763761791276e-10,10.3549448677273,"UP"
"18","O15085","ARHGEF11",2840.541748,2660.875488,3012.844238,3054.243896,NA,NA,NA,NA,11.4962866374663,5.74814331873317,76.2058875410946,1.77184582534232e-11,3.15763761791276e-10,10.3133071304549,"UP"
"19","O15530","PDPK1",9207.675781,8838.351563,9545.454102,10723.74609,NA,NA,NA,NA,13.221976984853,6.61098849242649,80.9829535079121,1.15830288363467e-11,3.15763761791276e-10,10.3525022222304,"UP"
