Sample	N	Chanel
HN1.Channel1	5689	Channel1
HN2.Channel1	5682	Channel1
HN3.Channel1	5786	Channel1
HN4.Channel1	6052	Channel1
HS1.Channel1	6982	Channel1
HS3.Channel1	7070	Channel1
HS4.Channel1	7081	Channel1
LN1.Channel1	5757	Channel1
LN2.Channel1	5256	Channel1
LN3.Channel1	5285	Channel1
LN4.Channel1	5669	Channel1
LS1.Channel1	6870	Channel1
LS2.Channel1	6814	Channel1
LS3.Channel1	6708	Channel1
LS4.Channel1	6787	Channel1
HN1.Channel3	5689	Channel3
HN2.Channel3	5682	Channel3
HN3.Channel3	5786	Channel3
HN4.Channel3	6052	Channel3
HS1.Channel3	6982	Channel3
HS3.Channel3	7070	Channel3
HS4.Channel3	7081	Channel3
LN1.Channel3	5757	Channel3
LN2.Channel3	5256	Channel3
LN3.Channel3	5285	Channel3
LN4.Channel3	5669	Channel3
LS1.Channel3	6870	Channel3
LS2.Channel3	6814	Channel3
LS3.Channel3	6708	Channel3
LS4.Channel3	6787	Channel3
