"","Genes","row_mean.QH_H","row_mean.QHf_H","row_mean.QHi_H","row_mean.QL_H"
"1","ACTB",21253552,2911.832601,1938.30322266667,NA
"2","TUBB4B",3374970.16666667,1354.161011,1049.47345,NA
"3","H3C1;H3-3A;H3-4;H3C15",31543.7719715,NA,NA,NA
"4","H4C1",1005523.40106667,NA,NA,NA
"5","H2AC11;H2AC6;H2AC12;H2AC14;H2AJ",1385934.71876667,NA,NA,NA
"6","TUBA1A",2089388.375,NA,NA,NA
"7","EEF1A1",2895346.25,1200.04195133333,NA,NA
"8","NEFM",891424.625,NA,NA,NA
"9","TUBB6",461878.270833333,NA,NA,NA
"10","TUBB",679723.7396,NA,NA,NA
"11","DPYSL2",2093618.25,NA,NA,NA
"12","ATP5F1A",317650.453133333,NA,NA,NA
"13","INA",308050.8073,NA,NA,NA
"14","CRMP1",481081.333366667,NA,NA,NA
"15","PKM",1343611.77083333,NA,NA,NA
"16","HSP90AB1",2227970.04166667,1388.61258933333,NA,NA
"17","TUBB2A",286402.25785,NA,NA,NA
"18","HNRNPA2B1",1547459.04166667,NA,NA,NA
"19","HSPA1A;HSPA1B",2545216.91666667,1058.814514,NA,NA
"20","NEFL",208998.679715,NA,NA,NA
"21","TUBB2B",736625.447933333,NA,NA,NA
"22","RPS27A",303074.807293333,3401.68513966667,1796.87255866667,NA
"23","HSPA8",1453767.70833333,NA,NA,NA
"24","HNRNPU",54638.2058105,NA,NA,1475.925598
"25","YWHAB",1273999.20833333,NA,NA,NA
"26","DPYSL3",2986799.66666667,NA,NA,NA
"27","HSP90AA1",371206.968766667,NA,NA,NA
"28","ATP5F1B",275019.82617,NA,NA,NA
"29","TUBB3",139445.953143333,NA,NA,NA
"30","CFL1",175145.5356695,NA,NA,NA
"31","NPM1",114920.268556667,NA,NA,NA
"32","HNRNPD",838386.520833333,NA,NA,NA
"33","VIM",433943.598966667,NA,NA,NA
"34","TPI1",283815.4479,NA,NA,NA
"35","HNRNPK",2713784.33333333,NA,NA,NA
"36","SRSF1",77137.2265766667,NA,NA,NA
"37","ATP1A3",685571.718766667,6157.59033066667,1201.61425766667,NA
"38","PPIA",825127.286466667,NA,NA,NA
"39","MDH1",1102456.21876667,NA,NA,NA
"40","SRSF3",231418.281266667,NA,NA,NA
"41","YWHAG",2298823.95833333,NA,NA,NA
"42","YWHAZ",2047452.3125,NA,NA,NA
"43","HSPD1",98416.6979266667,NA,NA,332262.3594
"44","HNRNPH1",1098641.89583333,NA,NA,NA
"45","ALDOA",261604.768233333,NA,NA,NA
"46","PRDX5",260476.713566667,NA,NA,NA
"47","YWHAE",367955.635433333,NA,NA,NA
"48","GNB2",177226.9844,NA,NA,NA
"49","GAPDH",371040.708333333,NA,NA,NA
"50","MAP1B",707654.197933333,NA,NA,NA
"51","RAN",80797.500965,NA,NA,NA
"52","RTN4",101360.20573,NA,NA,12510.518065
"53","HNRNPC",402432.76565,NA,NA,NA
"54","PCBP2",1790534.5,NA,NA,NA
"55","H1-3",28845.319825,NA,NA,NA
"56","STIP1",851396.8646,NA,NA,NA
"57","ACTC1",6755210.25,NA,NA,NA
"58","VAT1",209450.679703333,NA,NA,NA
"59","GAP43",123902.828143333,NA,NA,NA
"60","SPTAN1",339054.026033333,NA,NA,NA
"61","HDGFL3",308812.3047,NA,NA,NA
"62","EEF2",476828.8177,NA,NA,NA
