Rank,Genes,row_mean.QH_H,,,,
1,ACTB,21253552,,,,
2,ACTC1,6755210.25,,,,
3,MAP1LC3B2;MAP1LC3B,5375320.5,,,,
4,CROCC,4834645.375,,,,
5,TAF15,3654119.917,,,,
6,TUBB4B,3374970.167,,,,
7,PCBP1,3340897.167,,,,
8,DPYSL3,2986799.667,,,,
9,EEF1A1,2895346.25,,,,
10,DDX5,2784569.958,,,,
11,HNRNPK,2713784.333,,,,
12,UCHL1,2595625.333,,,,
13,HSPA1A;HSPA1B,2545216.917,,,,
14,PHGDH,2487536.625,,,,
15,YWHAG,2298823.958,,,,
16,HSP90AB1,2227970.042,,,,
17,DPYSL2,2093618.25,,,,
18,TUBA1A,2089388.375,,,,
19,YWHAZ,2047452.313,,,,
20,CASP3,1876107.313,,,,
21,GBA,1792769.917,,,,
22,PCBP2,1790534.5,,,,
23,ACTBL2,1723844.188,,,,
24,EFTUD2,1682399.875,,,,
25,PLD3,1641132.458,,,,
26,STMN1,1575328.667,,,,
27,HNRNPA2B1,1547459.042,,,,
28,PAFAH1B3,1531698.5,,,,
29,YARS1,1487127.25,,,,
30,HSPA8,1453767.708,,,,
31,COX6C,1417629.5,,,,
32,IDH1,1407829.417,,,,
33,H2AC11;H2AC6;H2AC12;H2AC14;H2AJ,1385934.719,,,,
34,PKM,1343611.771,,,,
35,NCOA5,1334198.938,,,,
36,EWSR1,1326514.708,,,,
37,ATXN2L,1315127.708,,,,
38,ERH,1276909.083,,,,
39,YWHAB,1273999.208,,,,
40,DCX,1231583.438,,,,
41,MDH1,1102456.219,,,,
42,HNRNPH1,1098641.896,,,,
43,HNRNPH3,1054622.469,,,,
44,H4C1,1005523.401,,,,
45,TAGLN3,963304.125,,,,
46,PPA1,941190.2344,,,,
47,XPNPEP3,902582.4063,,,,
48,NEFM,891424.625,,,,
49,UBE2N,889777.6458,,,,
50,YWHAQ,887166.3229,,,,
51,PARK7,853164.3021,,,,
