Rank,Genes,row_mean.QHf_H,,
1,PSMF1,32508.83236,,
2,ARF4,29107.62858,,
3,EIF4G1,15224.51302,,
4,NCDN,7223.370035,,
5,ATP1A3,6157.590331,,
6,NUDT14,5401.399841,,
7,BSG,5312.027913,,
8,SARNP,5246.410156,,
9,GBA,4284.399862,,
10,RHOT1,3401.760172,,
11,RPS27A,3401.68514,,
12,ACTB,2911.832601,,
13,NBPF1,2794.483521,,
14,TMX3,2698.310913,,
15,MRPL41,2697.972229,,
16,COTL1,2668.921387,,
17,KRT86,2499.289551,,
18,CUL5,2494.353923,,
19,RABL6,2436.49821,,
20,ELMOD2,1649.222779,,
21,PIGR,1640.703308,,
22,PRRC2B,1626.433634,,
23,EIF3H,1567.610108,,
24,RABEPK,1458.037232,,
25,WDR77,1455.655518,,
26,HSP90AB1,1388.612589,,
27,APH1B,1374.612366,,
28,TUBB4B,1354.161011,,
29,DNAJC2,1327.536133,,
30,PMPCB,1294.595398,,
31,RBBP4,1235.009766,,
32,EEF1A1,1200.041951,,
33,NAT10,1096.862977,,
34,HSPA1A;HSPA1B,1058.814514,,
