Rank,Genes,row_mean.QHi_H,,
1,EIF4G1,10437.73584,,
2,CDKN2D,7010.968993,,
3,PSMF1,6509.222169,,
4,ARF4,4340.321371,,
5,FAM114A2,3396.64681,,
6,NCDN,3266.860514,,
7,MRPL41,2714.394043,,
8,RHOT1,2514.043335,,
9,CCNL1,2305.8809,,
10,IGLON5,2176.568237,,
11,CXXC5,1994.249084,,
12,PRRC2B,1950.036784,,
13,ACTB,1938.303223,,
14,RABL6,1937.116455,,
15,MRPL46,1888.868734,,
16,NAT10,1831.152506,,
17,CUL5,1830.044617,,
18,EIF3H,1816.677307,,
19,RPS27A,1796.872559,,
20,SARNP,1721.031067,,
21,SIRPA,1564.023133,,
22,KRT86,1520.416077,,
23,EDC4,1248.916138,,
24,ATP1A3,1201.614258,,
25,WDR77,1169.705851,,
26,TUBB4B,1049.47345,,
