rank,PG.Genes,row_mean.HN_H
1,ARF4,44834.82422
2,MRPS28,43371.5503
3,ATG7,24219.95508
4,PGD,22075.03882
5,RABL6,21381.90698
6,GTPBP6,17732.02441
7,BAG6,16880.52051
8,IBA57,15324.9386
9,ATP6V1C1,14543.4231
10,BSG,12840.20947
11,KLC2,12831.60257
12,WDR45,12441.91009
13,HDAC11,12333.54089
14,CHD2,12313.20508
15,FGFR1OP2,11645.24976
16,CKB,9668.639374
17,VPS18,9282.661316
18,SLC26A6,8597.587726
19,KYAT1,8487.656616
20,NEDD8,8334.387533
21,TMEM70,7880.978516
22,SYMPK,7854.43917
23,GSTO1,7833.679077
24,ANXA6,7586.86792
25,BRK1,7045.692688
26,ATP5F1A,6718.310669
27,ACTR3,6694.455201
28,LSM3,6593.797119
29,SLC38A7,6499.707825
30,DBT,6476.701904
31,TUBB,6458.711914
32,TIMM29,6267.715454
33,CYRIA,6097.968933
34,EEF1A1,6086.811645
35,PRKCG,5892.395928
36,FBXO21,5813.997377
37,ADK,5655.000563
38,ZFYVE1,5497.399109
39,PPP1CA,5412.273682
40,GNAZ,5326.126312
41,MFSD10,5290.549347
42,RTN4,5128.163696
43,CUL4A,5091.867471
44,MRS2,4888.106751
45,RPS15A,4871.043335
46,ATG5,4779.411804
47,NOB1,4731.511536
48,EIF3F,4690.789368
49,SCG3,4518.299744
50,MAPT,4411.495079
51,THNSL1,4408.545105
52,RAP1A,4402.258896
53,DMWD,4353.40802
54,GBA,4329.571228
55,KRIT1,4104.415772
56,MPP6,4089.086914
57,SNX6,4065.758881
58,SLC25A26,4027.827799
59,CALR,4004.447571
60,WIZ,3881.209473
61,H2BC20P;H2BC19P,3866.159424
62,CD151,3848.985993
63,RABEPK,3848.922165
64,ADGRL2,3771.348877
65,MRPS33,3726.833601
66,FAF2,3726.117859
67,CACNB3,3724.223725
68,DLAT,3709.632446
69,APRT,3698.677063
70,HARS1,3679.80719
71,DNAJC7,3651.268433
72,NDUFV1,3615.013062
73,MFN1,3609.243958
74,PRKCSH,3604.055419
75,GOLGA7,3547.381195
76,IDH3A,3486.919312
77,ARFGEF3,3441.790405
78,ZNF571,3355.924866
79,RTCB,3351.5401
80,PPIB,3336.719177
81,DHCR24,3331.786316
82,NAA25,3291.828613
83,METTL9,3216.961792
84,MRPS31,3171.365692
85,SPRYD3,3161.648193
86,NPTX2,3154.535446
87,KCND2,3130.534202
88,LSS,3119.942047
89,TENM4,3118.028229
90,STMN2,3105.361267
91,SBF2,3083.278565
92,IQSEC2,3020.872241
93,RNF150,3015.756246
94,CDK14,2986.24646
95,OGDHL,2956.976868
96,ARF5,2949.131348
97,DYNC1LI1,2948.37796
98,FDPS,2928.852234
99,MAPK8IP2,2925.746765
100,NTRK3,2921.659872
101,MCTS1,2920.519837
102,VIPAS39,2878.366302
103,SURF1,2875.07431
104,ENO3,2852.202057
105,EIF4H,2838.802765
106,COPB2,2768.493149
107,GNA12,2759.566081
108,DUSP12,2655.529358
109,MPP2,2648.281952
110,SRP19,2647.353775
111,TSC22D4,2646.153107
112,HTR7,2645.872477
113,PLPPR4,2626.354845
114,NAV3,2593.802735
115,SCAMP3,2581.895691
116,MRPL58,2557.123902
117,LMF1,2544.891749
118,LIPE,2519.669396
119,CTNNA2,2479.314728
120,SLC4A7,2381.930909
121,AUH,2350.741547
122,TRAPPC2L,2337.752772
123,PRKAB1,2310.607159
124,AP4S1,2259.259308
125,NDUFC2,2233.428833
126,SLC25A11,2230.998291
127,PCDHGB2,2230.862457
128,GLRX2,2225.200643
129,PARD6A,2204.601522
130,ARHGEF12,2197.66275
131,SCP2,2197.616735
132,CAP1,2197.512665
133,UCKL1,2195.499797
134,RAB18,2176.765564
135,POR,2168.069023
136,BLMH,2157.532806
137,CACYBP,2136.155304
138,MRPL48,2125.780014
139,VAV2,2120.730964
140,CLSTN1,2118.881201
141,CERS2,2101.359782
142,COX11,2093.358383
143,SRP14,2073.450928
144,NAXD,2059.325104
145,MAL2,2051.237015
146,MRPS12,2043.342468
147,DYNC1I1,2030.120163
148,PARP4,2013.061951
149,MSMO1,1998.942017
150,SH3GL2,1975.744278
151,SLC25A22,1973.622208
152,MFF,1961.934296
153,DHCR7,1959.975739
154,PARK7,1944.167343
155,MAP4K4,1929.115875
156,HSPE1,1902.430908
157,LRP11,1889.15979
158,SLC39A6,1863.246385
159,SORT1,1860.890762
160,PEBP1,1844.711151
161,UBE3C,1838.272751
162,SLC44A2,1807.570526
163,MRM2,1802.820984
164,VPS29,1798.003052
165,FAM157B,1773.49149
166,ATL2,1757.369003
167,SNRNP200,1755.819891
168,EPN1,1746.111435
169,PSMD6,1746.069061
