gene_symbol,RED,pvalue,p_adj,APAreg,Significance
AAK1,0.207344037907708,0.141221090576557,0.383163457723925,NC,NS
ABCC1,0.151960307227455,0.682203028621279,0.846518498014248,NC,NS
ABHD10,-0.366699256733378,0.214353013845462,0.474016420861509,NC,NS
ABHD12,0.123563415631531,0.794483120596466,0.905128413831367,NC,NS
ABHD17C,0.579804930578181,0.112613421803645,0.341029060309491,NC,NS
ABLIM1,-0.141328745755283,0.449042423110914,0.681470442219713,NC,NS
ABRAXAS1,1.07322234374336,0.0001786151853981,0.00658757022756383,UP,Lengthened in Neurites
ACAT2,-0.317283723159137,0.231189052438959,0.487941200879897,NC,NS
ACER3,-0.923220199738626,0.13143670152804,0.371044113835954,NC,NS
ACLY,-0.103357335864455,0.788027010747267,0.902398497694752,NC,NS
ACO2,-1.43090725145993,0.000216739432875395,0.00746120958470522,DN,Shortened in Neurites
ACSL1,0.0738924040106541,0.84832942714927,0.93751388190798,NC,NS
ACTB,-0.105829928415989,0.0552823000950096,0.226963810459074,NC,NS
ACTR1A,0.0221603454668321,0.936636543910699,0.973751347751658,NC,NS
ACTR2,-0.16717356337805,0.302937206347771,0.568835596164945,NC,NS
ACTR3,0.668314095865024,0.036309458477024,0.179159595569171,UP,NS
ACVR1B,0.0153373984463654,0.971013494011484,0.984587773983686,NC,NS
ACVR2A,-0.162215941255757,0.321198255362398,0.584665649377064,NC,NS
ADAM10,0.333837963792277,0.403846724552937,0.649221850458504,NC,NS
ADAR,0.300377456110069,0.351590694769194,0.610583680620724,NC,NS
ADARB1,0.491402407680225,0.201778554122962,0.465267120087083,NC,NS
ADCY1,0.0235443682632667,0.923814941181737,0.969716021230806,NC,NS
ADCY3,0.0353951064202973,0.931082978755745,0.971254344090364,NC,NS
ADD1,0.0465498220505964,0.870688672992679,0.950159755482482,NC,NS
ADD2,-0.150215151425139,0.0883206650884543,0.303132124972361,NC,NS
ADGRL1,0.424986518137138,0.321986857094468,0.584665649377064,NC,NS
ADGRL3,0.636479576327892,0.045365176099305,0.203116508625695,UP,NS
ADH5,-0.691346951440321,0.00148905651125133,0.0245468709733553,DN,Shortened in Neurites
ADIPOR1,0.0130753615963166,0.982812076254043,0.988718944950901,NC,NS
ADNP,0.142453952264299,0.415266708607137,0.659576903597906,NC,NS
ADO,-0.65379169510853,0.181585231668489,0.441485434760482,NC,NS
ADSS,-1.004855528151,0.072409271891569,0.267055212942465,NC,NS
AES,0.310272325997756,0.419206841461426,0.662450317371142,NC,NS
AFF2,-0.146171777295453,0.110307948901728,0.336648102118037,NC,NS
AFF3,-0.106145965137505,0.656666576721303,0.831635727294497,NC,NS
AGAP1,-0.15569478875431,0.152945034304889,0.398272661197325,NC,NS
AGMAT,0.194371052371813,0.631816165489303,0.818658606016627,NC,NS
AGO2,-0.441614774747301,0.074690549419297,0.271329942464758,NC,NS
