gene_name,cFC,Significance
SLC37A3,-1.60870512741159,Shortened in Neurites
TPT1,-1.45864994836825,Shortened in Neurites
CACUL1,-1.22110675263786,Shortened in Neurites
MICOS10,-1.2134748069671,Shortened in Neurites
POLR3C,-1.09120484646292,Shortened in Neurites
ZNF254,-0.965276334692814,Shortened in Neurites
PCYOX1,-0.872340716626439,Shortened in Neurites
SNAPIN,-0.867138264854288,Shortened in Neurites
ZNF644,-0.866019211487572,Shortened in Neurites
SPOCK2,-0.859007234542768,Shortened in Neurites
ZNF207,-0.854074318677647,Shortened in Neurites
DMAC1,-0.849937096144386,Shortened in Neurites
CEP350,-0.844241429992631,Shortened in Neurites
ATP5MC3,-0.834601960800829,Shortened in Neurites
SIX3,-0.829108959003287,Shortened in Neurites
COX7B,-0.803365404092511,Shortened in Neurites
ALDH2,-0.797061944371396,Shortened in Neurites
SV2A,-0.773887977769227,Shortened in Neurites
SENP5,-0.764929342146677,Shortened in Neurites
MAN1A2,-0.761625331815714,Shortened in Neurites
SRSF10,-0.754933807672157,Shortened in Neurites
MAP4K5,-0.730848491511308,Shortened in Neurites
RPL27A,-0.729659752765225,Shortened in Neurites
TXNL4A,-0.715121094943241,Shortened in Neurites
RPL37,-0.701712682375142,Shortened in Neurites
WARS1,-0.690121879184451,Shortened in Neurites
ATXN10,-0.683657700120759,Shortened in Neurites
POMP,-0.683491571588886,Shortened in Neurites
TOP1,-0.674185212768913,Shortened in Neurites
XKR4,-0.674086814139813,Shortened in Neurites
YME1L1,-0.668548683415558,Shortened in Neurites
SNCG,-0.664442061164927,Shortened in Neurites
LANCL2,-0.662658266023496,Shortened in Neurites
FAM229B,-0.646756434487091,Shortened in Neurites
IGLON5,-0.637376572815383,Shortened in Neurites
SERF2,-0.629245855406354,Shortened in Neurites
RRP1B,-0.627574586888517,Shortened in Neurites
BPTF,-0.620176362341635,Shortened in Neurites
HNRNPDL,-0.620133500660713,Shortened in Neurites
RPL13A,-0.619975064915151,Shortened in Neurites
COPS2,-0.599733171886224,Shortened in Neurites
TCAF1,-0.598677636383171,Shortened in Neurites
SHOC2,-0.595361882113975,Shortened in Neurites
PAK1,-0.594567877501052,Shortened in Neurites
ARID1A,-0.591366940741446,Shortened in Neurites
PUM1,-0.588943711337745,Shortened in Neurites
PSMC4,-0.588460994757523,Shortened in Neurites
CD59,-0.588289703803754,Shortened in Neurites
ANP32B,-0.585179761178419,Shortened in Neurites
SNX19,-0.571130924227612,Shortened in Neurites
PRDX6,-0.562738714318907,Shortened in Neurites
PPIP5K2,-0.562537456996294,Shortened in Neurites
MRPS21,-0.558665325600843,Shortened in Neurites
NDUFV3,-0.553778170925989,Shortened in Neurites
SULT4A1,-0.55144325794214,Shortened in Neurites
MAP3K2,-0.550061916059768,Shortened in Neurites
UBFD1,-0.549339633646395,Shortened in Neurites
ARL5B,-0.549153448985156,Shortened in Neurites
RER1,-0.546696443490907,Shortened in Neurites
CIBAR1,-0.546359670365808,Shortened in Neurites
COX7A2L,-0.545090414446888,Shortened in Neurites
MLEC,-0.540300543998583,Shortened in Neurites
CAND1,-0.540115983244843,Shortened in Neurites
DNALI1,-0.537799305941439,Shortened in Neurites
PBX1,-0.535553200117354,Shortened in Neurites
PCSK2,-0.523874241586255,Shortened in Neurites
NF1,-0.521893880788311,Shortened in Neurites
SMIM10L1,-0.519622122050038,Shortened in Neurites
TRIM36,-0.515411153725798,Shortened in Neurites
KIRREL1,-0.510374717012415,Shortened in Neurites
DEK,-0.508121880072773,Shortened in Neurites
CCP110,-0.504938606125826,Shortened in Neurites
LHX1,-0.50407310174421,Shortened in Neurites
UBE4B,-0.503299476574132,Shortened in Neurites
CNOT2,-0.500938967437675,Shortened in Neurites
UBQLN1,-0.499398462539379,Shortened in Neurites
FAM136A,-0.496083353296408,Shortened in Neurites
C1orf52,-0.493945317052959,Shortened in Neurites
MAGEF1,-0.493665286542096,Shortened in Neurites
RBL2,-0.489418106106042,Shortened in Neurites
GTF2H5,-0.48714400172386,Shortened in Neurites
RAB18,-0.484052600144879,Shortened in Neurites
THOC5,-0.483879249377141,Shortened in Neurites
RNFT2,-0.483706939739018,Shortened in Neurites
KMT2A,-0.481815048207111,Shortened in Neurites
TXNDC15,-0.476801179395134,Shortened in Neurites
DESI1,-0.476362783821707,Shortened in Neurites
GPRIN1,-0.474663251995952,Shortened in Neurites
GSK3B,-0.473461101367757,Shortened in Neurites
DNAJC15,-0.471902464696021,Shortened in Neurites
ARL8A,-0.470316713547759,Shortened in Neurites
DBNL,-0.469122385470057,Shortened in Neurites
LNPK,-0.467381844941171,Shortened in Neurites
API5,-0.466489180704888,Shortened in Neurites
RPL14,-0.464323625206609,Shortened in Neurites
SNX4,-0.462774929354063,Shortened in Neurites
TAOK1,-0.462178475669498,Shortened in Neurites
TSPAN5,-0.460625093587549,Shortened in Neurites
KATNAL1,-0.46039482768296,Shortened in Neurites
MAP4K4,-0.452124188031386,Shortened in Neurites
TBC1D9B,-0.450055994056997,Shortened in Neurites
HNRNPA2B1,-0.44658670466831,Shortened in Neurites
