Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL,Significance,text_label,plot_color,plot_layer,down_rank,up_rank
ENSG00000000003,211.720322944108,-0.504918169789683,0.0993058798446773,4.53965676980231e-08,8.85448498172139e-07,TSPAN6,NS,,#c4c4c4,bottom,,
ENSG00000000419,388.623877520086,0.104892333963926,0.0695650947448889,0.101845623005319,0.270702193257876,DPM1,NS,,#c4c4c4,bottom,,
ENSG00000000457,340.056418597763,-0.12678945912923,0.0767720503051633,0.0706841057435295,0.208764684405308,SCYL3,NS,,#c4c4c4,bottom,,
ENSG00000000460,74.7679227755583,-0.0602788331966883,0.121838933048801,0.521914280759213,0.739317102187634,C1orf112,NS,,#c4c4c4,bottom,,
ENSG00000001036,118.666856895667,0.260803045977585,0.126843961803727,0.0115608926749065,0.0528976228246038,FUCA2,NS,,#c4c4c4,bottom,,
ENSG00000001084,259.730168793,0.0935809079402021,0.0824919166433697,0.205451507407768,0.43187244273554,GCLC,NS,,#c4c4c4,bottom,,
ENSG00000001167,1271.06688912197,0.195678014887992,0.0502303294921187,5.21289017614951e-05,0.000546073194263372,NFYA,NS,,#c4c4c4,bottom,,
ENSG00000001460,130.434912870166,0.812264098273287,0.120798822912426,1.3323090314395e-12,5.13086507065099e-11,STPG1,NS,,#c4c4c4,bottom,,
ENSG00000001461,698.724016106469,0.206344264680059,0.0602709688462995,0.00030432693625374,0.00255178587572405,NIPAL3,NS,,#c4c4c4,bottom,,
ENSG00000001497,1309.05764409959,0.269022637132251,0.0584746705410163,1.44093355639188e-06,2.17013617427014e-05,LAS1L,NS,,#c4c4c4,bottom,,
ENSG00000001561,165.727890280094,-0.0562015499415426,0.0945904217716878,0.491911378878217,0.716827733573195,ENPP4,NS,,#c4c4c4,bottom,,
ENSG00000001617,645.538002519765,0.218236917890683,0.0765600538611153,0.00190951279729279,0.0120374919954269,SEMA3F,NS,,#c4c4c4,bottom,,
ENSG00000001626,31.458437677713,-0.0887660093318564,0.161138221337175,0.368566058102026,0.612362509881994,CFTR,NS,,#c4c4c4,bottom,,
ENSG00000001629,1768.323915402,0.102027869812171,0.048184224279589,0.0282695350215971,0.106113564070158,ANKIB1,NS,,#c4c4c4,bottom,,
ENSG00000001630,469.238576330306,0.0038994834016406,0.0764184467858961,0.956331259501421,0.982763180847765,CYP51A1,NS,,#c4c4c4,bottom,,
ENSG00000001631,427.593234094142,0.315695760934513,0.0857289919922677,5.87315549183927e-05,0.000605972400951705,KRIT1,NS,,#c4c4c4,bottom,,
ENSG00000002016,443.934848363947,0.064360409340837,0.0650171061777702,0.291385104240578,0.535706869426034,RAD52,NS,,#c4c4c4,bottom,,
ENSG00000002079,23.0937589671353,-0.0692770259882987,0.167912701767895,0.451799777887997,0.686025198197988,ENSG00000002079,NS,,#c4c4c4,bottom,,
ENSG00000002330,523.550934988786,-0.149482238908186,0.0972333061050007,0.0746698235765138,0.217216063797538,BAD,NS,,#c4c4c4,bottom,,
ENSG00000002549,259.391425742729,0.129753455988681,0.0846972295681742,0.0852864357670095,0.238966926989219,LAP3,NS,,#c4c4c4,bottom,,
ENSG00000002586,20.5736675008932,0.0276567993538037,0.160806089554891,0.75159930815544,0.884147055219955,CD99,NS,,#c4c4c4,bottom,,
ENSG00000002587,14.9238864843585,0.0241946843664076,0.170106876718498,0.75683407499607,0.88704599807073,HS3ST1,NS,,#c4c4c4,bottom,,
ENSG00000002746,4302.74917529,0.104613884915865,0.0485734459144706,0.0255694492091648,0.0986869485914128,HECW1,NS,,#c4c4c4,bottom,,
ENSG00000002822,47.1807951919556,0.203397873990038,0.176143296939761,0.080138932170065,0.228566830764129,MAD1L1,NS,,#c4c4c4,bottom,,
ENSG00000002834,2904.72174450604,0.0658806730961515,0.0622862998598234,0.261838068322147,0.501930861629258,LASP1,NS,,#c4c4c4,bottom,,
ENSG00000002919,316.799121191051,-0.0815655489476122,0.0946773211326366,0.319731890894002,0.565206375160292,SNX11,NS,,#c4c4c4,bottom,,
ENSG00000003056,599.783719908449,0.0722742779410854,0.0649330099406225,0.235108238557435,0.4705078648043,M6PR,NS,,#c4c4c4,bottom,,
ENSG00000003096,326.55934343307,-0.350133811706664,0.0860543905500793,9.96552491619138e-06,0.000125086427682078,KLHL13,NS,,#2e47ff,top,,
ENSG00000003137,13.7294200121906,0.03440739814102,0.16857247858375,0.67446195454428,0.840419300211002,CYP26B1,NS,,#c4c4c4,bottom,,
ENSG00000003147,234.755665768887,-0.128810893033829,0.0964144407914775,0.121385791367398,0.306255267818237,ICA1,NS,,#c4c4c4,bottom,,
ENSG00000003249,1545.30982085491,-0.161476879621318,0.0765377763258497,0.0206793688360122,0.0836007121539082,DBNDD1,NS,,#c4c4c4,bottom,,
ENSG00000003393,1834.68292756256,0.0786562417778695,0.0441949913586078,0.0669211313223775,0.200985664231921,ALS2,NS,,#c4c4c4,bottom,,
ENSG00000003400,10.5745709905037,0.00221745874976185,0.171131470814428,0.977072448789412,0.99142527567293,CASP10,NS,,#c4c4c4,bottom,,
ENSG00000003402,1163.20346143864,0.178392775389351,0.0517415615590877,0.00032885048204559,0.00272807119160463,CFLAR,NS,,#c4c4c4,bottom,,
ENSG00000003509,359.535269328829,0.0733965665789987,0.0800830207119883,0.311368421711097,0.556998855836121,NDUFAF7,NS,,#c4c4c4,bottom,,
ENSG00000003756,3224.00016539455,0.0935726492133442,0.0464726753433235,0.0375258391582893,0.131012991507689,RBM5,NS,,#c4c4c4,bottom,,
ENSG00000003987,983.993724076496,0.0779001368706875,0.0550664234769856,0.138690908713256,0.334169669058157,MTMR7,NS,,#c4c4c4,bottom,,
ENSG00000004059,1132.61033633014,-0.144895892073317,0.0565773704529135,0.00702207138893365,0.035508195318395,ARF5,NS,,#c4c4c4,bottom,,
ENSG00000004139,1370.16077256317,-0.00409774481124098,0.0643290739381994,0.93863432972494,0.975698274144482,SARM1,NS,,#c4c4c4,bottom,,
ENSG00000004142,1056.78494366247,0.0893870108579566,0.0568960826651038,0.0988006042621143,0.265007885613355,POLDIP2,NS,,#c4c4c4,bottom,,
ENSG00000004399,18.6118642588832,-0.115505362991102,0.193685771561711,0.225230611670985,0.457792052457678,PLXND1,NS,,#c4c4c4,bottom,,
ENSG00000004455,966.300863488744,-0.00297562880176089,0.0623571040459468,0.959327017556178,0.983941071451104,AK2,NS,,#c4c4c4,bottom,,
ENSG00000004478,2368.79084158724,-0.108449143676087,0.0564109700623627,0.0434676565778789,0.146968268710669,FKBP4,NS,,#c4c4c4,bottom,,
ENSG00000004487,6998.82349556478,0.0952197726474576,0.0398354839212929,0.0142281005456501,0.0621047385470102,KDM1A,NS,,#c4c4c4,bottom,,
ENSG00000004534,2943.91014900293,0.146021101672774,0.0524893414582956,0.00370165132951701,0.0210620513352785,RBM6,NS,,#c4c4c4,bottom,,
ENSG00000004660,387.973709520626,-0.229843347598872,0.0766464434879071,0.00111302420746413,0.00765236429641848,CAMKK1,NS,,#c4c4c4,bottom,,
ENSG00000004700,202.384521196114,0.155747493673146,0.099559656952524,0.0684722693037748,0.204206348269279,RECQL,NS,,#c4c4c4,bottom,,
ENSG00000004766,556.406791124724,-0.0897790844728154,0.0690583463882684,0.161304089426048,0.370497891238085,VPS50,NS,,#c4c4c4,bottom,,
ENSG00000004776,20.2216035657169,0.0846702370907928,0.177854573636025,0.355482081067211,0.600734688241412,HSPB6,NS,,#c4c4c4,bottom,,
ENSG00000004777,4011.70436992,-0.201313134760683,0.0700586479723008,0.00196941103995288,0.0123565101218914,ARHGAP33,NS,,#c4c4c4,bottom,,
ENSG00000004779,810.112088638381,0.0390822966090529,0.0704108560376057,0.539274103528858,0.751175696861998,NDUFAB1,NS,,#c4c4c4,bottom,,
ENSG00000004838,43.3082796246401,-0.179751625299962,0.182860881482985,0.114663125127107,0.294757291651146,ZMYND10,NS,,#c4c4c4,bottom,,
ENSG00000004864,426.414665058036,-0.126454952592052,0.0692581644567213,0.0491073663176068,0.160607801356455,SLC25A13,NS,,#c4c4c4,bottom,,
ENSG00000004866,1335.83932578411,0.174927402128775,0.0511664324891226,0.000372272141052741,0.00304581397779163,ST7,NS,,#c4c4c4,bottom,,
ENSG00000004897,1366.02452926194,-0.126274341182211,0.0481661696536856,0.00654034940937472,0.0334732032484322,CDC27,NS,,#c4c4c4,bottom,,
ENSG00000004961,300.170682626207,0.0740559561961694,0.0741377686676848,0.274699620933213,0.5166319170685,HCCS,NS,,#c4c4c4,bottom,,
ENSG00000004975,615.104716044915,0.063216896099659,0.0643372470589388,0.295460332938911,0.539775035268873,DVL2,NS,,#c4c4c4,bottom,,
