Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL,Significance,text_label,plot_color,plot_layer,down_rank,up_rank
ENSG00000000003,89.9062018855643,0.972213284399823,0.1768751610085,1.58968036239218e-08,1.08488793055394e-07,TSPAN6,NS,,#c4c4c4,bottom,,
ENSG00000000419,88.1745394527225,-0.476110883293217,0.187210751783012,0.00884457738303184,0.026874292971107,DPM1,NS,,#c4c4c4,bottom,,
ENSG00000000457,58.0274500494803,-0.603552396219486,0.215483819933231,0.00362339568494689,0.0124758300245918,SCYL3,NS,,#c4c4c4,bottom,,
ENSG00000000460,37.5681788995545,0.309036225577113,0.249802056406434,0.190815534675601,0.284614188635902,C1orf112,NS,,#c4c4c4,bottom,,
ENSG00000000938,4.11961330002522,-0.586690256400898,0.625504553560291,0.199353573536616,0.294226884925315,FGR,NS,,#c4c4c4,bottom,,
ENSG00000000971,26.3776489771144,-0.826581540900128,0.357235609754019,0.0100045781582905,0.0297379285060062,CFH,NS,,#c4c4c4,bottom,,
ENSG00000001036,31.9013981344805,0.289456593723823,0.258747066015003,0.234608765272173,0.331964092424007,FUCA2,NS,,#c4c4c4,bottom,,
ENSG00000001084,92.6011862361239,-0.332665077175972,0.178839209202967,0.0560215080463089,0.114650361370904,GCLC,NS,,#c4c4c4,bottom,,
ENSG00000001167,158.612668287095,-0.397321502567425,0.151748295353182,0.00769285715899845,0.0238614202324024,NFYA,NS,,#c4c4c4,bottom,,
ENSG00000001460,58.4279432467574,-0.170661158900608,0.205692785375029,0.389465271190136,0.487099758930756,STPG1,NS,,#c4c4c4,bottom,,
ENSG00000001461,223.275788020292,-0.0962182879214097,0.14107063544113,0.487923755702707,0.577539378388096,NIPAL3,NS,,#c4c4c4,bottom,,
ENSG00000001497,189.814572224398,-0.477097951815542,0.168619563103065,0.00362102006643189,0.0124694686931101,LAS1L,NS,,#c4c4c4,bottom,,
ENSG00000001561,52.3702035777965,-0.966867729201715,0.239131595638928,2.57201148490497e-05,0.000133625758400574,ENPP4,NS,,#c4c4c4,bottom,,
ENSG00000001617,9.39519778395234,-0.0017362768890325,0.414169236252315,0.995490359384643,0.996672200811939,SEMA3F,NS,,#c4c4c4,bottom,,
ENSG00000001626,33.2408919931731,-0.750334375330998,0.301610477846229,0.00765227653148761,0.0237596532650542,CFTR,NS,,#c4c4c4,bottom,,
ENSG00000001629,1904.66493490943,2.91065962792969,0.124427312622943,3.91917128339686e-122,3.29335912864235e-120,ANKIB1,Up,,#d63cc0,middle,,640
ENSG00000001630,13.3474810083089,-0.655307361981206,0.424846140361586,0.0764517545814207,0.144547624383945,CYP51A1,NS,,#c4c4c4,bottom,,
ENSG00000001631,85.6385594330231,-0.812822004076385,0.215407861933657,8.45847204945783e-05,0.000407113535474618,KRIT1,NS,,#c4c4c4,bottom,,
ENSG00000002016,52.8927721869296,-0.730289908720502,0.238166684650778,0.00130147176331682,0.00506704909269582,RAD52,NS,,#c4c4c4,bottom,,
ENSG00000002079,7.55194444037635,-0.43771086641381,0.480779310956197,0.268517447198182,0.367629296729325,ENSG00000002079,NS,,#c4c4c4,bottom,,
ENSG00000002330,11.4559574310276,0.636301313270353,0.420828056616931,0.0791326837695093,0.148321960775474,BAD,NS,,#c4c4c4,bottom,,
ENSG00000002549,56.0036913981386,-0.399165988213193,0.215317864572921,0.0536630377270913,0.110977869140813,LAP3,NS,,#c4c4c4,bottom,,
