Geneid,baseMean,log2FoldChange,lfcSE,pvalue,padj,SYMBOL,Significance,text_label,plot_color,plot_layer,down_rank,up_rank
ENSG00000000003,143.394958840426,-0.27875448057978,0.112758724070842,0.00097976675750825,0.0181523872525768,TSPAN6,NS,,#c4c4c4,bottom,,
ENSG00000000419,286.909804335534,-0.00387159280792116,0.0556829486838629,0.928893054574399,0.979062516321444,DPM1,NS,,#c4c4c4,bottom,,
ENSG00000000457,239.976641671461,-0.038643757091691,0.0631676458570872,0.404608205299492,0.729623923559488,SCYL3,NS,,#c4c4c4,bottom,,
ENSG00000000460,49.1741546591782,-0.0576879088527287,0.0974203494637792,0.187583367072092,0.519159343636464,C1orf112,NS,,#c4c4c4,bottom,,
ENSG00000001036,69.4847937613237,-0.0450507161660524,0.084965881583067,0.312622238841155,0.660536319099512,FUCA2,NS,,#c4c4c4,bottom,,
ENSG00000001084,193.95016073336,0.000784758959434264,0.0666618477317761,0.986071735878627,0.995786181995042,GCLC,NS,,#c4c4c4,bottom,,
ENSG00000001167,813.972848990027,0.000113493691796809,0.0475803824210088,0.998291076974932,0.999380062957427,NFYA,NS,,#c4c4c4,bottom,,
ENSG00000001460,69.0301925031345,-0.221747225528057,0.150653699002944,0.00966498809674183,0.0939135044584452,STPG1,NS,,#c4c4c4,bottom,,
ENSG00000001461,436.995576052371,-0.237412547474457,0.0708472463292662,8.73951933550956e-05,0.00283433035330516,NIPAL3,NS,,#c4c4c4,bottom,,
ENSG00000001497,871.723355889836,0.0532472684521574,0.0657690310661394,0.265482905724659,0.611309322392308,LAS1L,NS,,#c4c4c4,bottom,,
ENSG00000001561,117.179289588365,-0.284375317046367,0.119521480665073,0.00119399222158779,0.0209962438154781,ENPP4,NS,,#c4c4c4,bottom,,
ENSG00000001617,350.415829541412,0.0341176462831627,0.064984505989294,0.46199768788694,0.769270761507458,SEMA3F,NS,,#c4c4c4,bottom,,
ENSG00000001626,22.19025278356,-0.0168819813098262,0.0878690344436589,0.520986590848563,0.808231599032548,CFTR,NS,,#c4c4c4,bottom,,
ENSG00000001629,1164.74469366335,-0.049139678267102,0.0525189471613784,0.254689157405708,0.601116914111456,ANKIB1,NS,,#c4c4c4,bottom,,
ENSG00000001630,293.42032948612,-0.0258365743591027,0.0612668068514646,0.56796397696039,0.834564601702768,CYP51A1,NS,,#c4c4c4,bottom,,
ENSG00000001631,213.872266406991,-0.0424939741637998,0.0848769672282388,0.327319916244497,0.671742816835995,KRIT1,NS,,#c4c4c4,bottom,,
ENSG00000002016,243.556715986629,0.0469051864747212,0.0664672928053464,0.325122035050678,0.67132382821504,RAD52,NS,,#c4c4c4,bottom,,
ENSG00000002079,20.6821669941817,0.109637464728112,0.202001867835617,0.0132122928297943,0.114699054895194,ENSG00000002079,NS,,#c4c4c4,bottom,,
ENSG00000002330,407.659615258488,-0.0684121472534413,0.0874480275896343,0.17735648968317,0.506344040566958,BAD,NS,,#c4c4c4,bottom,,
ENSG00000002549,176.562728815228,-0.0245276952929823,0.0655603149046155,0.591265668835367,0.846059908413661,LAP3,NS,,#c4c4c4,bottom,,
ENSG00000002586,17.3735780653933,-0.0294362105899749,0.0915079777686689,0.298960027212358,0.646606084782654,CD99,NS,,#c4c4c4,bottom,,
ENSG00000002587,27.474651561627,0.0469095707591338,0.100111244087218,0.150850316091346,0.468117683756604,HS3ST1,NS,,#c4c4c4,bottom,,
ENSG00000002746,2441.22978853541,-0.0353782165343669,0.0359188074211186,0.28210813327082,0.630600327218625,HECW1,NS,,#c4c4c4,bottom,,
ENSG00000002822,31.1035363895411,0.0348179564174615,0.0921255210854059,0.281023490176353,0.629932550744303,MAD1L1,NS,,#c4c4c4,bottom,,
ENSG00000002834,1928.18870215864,-0.00796404949993734,0.0501719636971827,0.84789492971683,0.950646421368736,LASP1,NS,,#c4c4c4,bottom,,
ENSG00000002919,229.160412569706,0.0534365919389975,0.071745014714893,0.27469242847026,0.622939270363336,SNX11,NS,,#c4c4c4,bottom,,
ENSG00000003056,399.515569838569,-0.0326892457693488,0.0542424898010327,0.45273887197228,0.762764232400157,M6PR,NS,,#c4c4c4,bottom,,
ENSG00000003096,166.047595619644,-0.239673767905423,0.109149840502304,0.00235899202723913,0.034531345844759,KLHL13,NS,,#c4c4c4,bottom,,
ENSG00000003147,201.159098590953,0.0560796433414827,0.0705726478657076,0.251642542899313,0.597418662961096,ICA1,NS,,#c4c4c4,bottom,,
ENSG00000003249,1066.81824929645,-0.0418717362732308,0.068754167856565,0.372464238056638,0.707010337590844,DBNDD1,NS,,#c4c4c4,bottom,,
ENSG00000003393,1172.90172382819,-0.0340916830518227,0.0484558041838728,0.404804829124218,0.729656172662453,ALS2,NS,,#c4c4c4,bottom,,
ENSG00000003400,10.2167642996259,0.00679108632138009,0.0879957100345374,0.727935975069089,1,CASP10,NS,,#c4c4c4,bottom,,
ENSG00000003402,698.842761130416,-0.124236609597504,0.0727661652690544,0.022913197831028,0.162879637206642,CFLAR,NS,,#c4c4c4,bottom,,
ENSG00000003436,12.0711515677295,-0.00568285285277509,0.08718786022429,0.796575450836622,1,TFPI,NS,,#c4c4c4,bottom,,
ENSG00000003509,239.521046045626,-0.0169699663566042,0.0643885212297645,0.70851000716211,0.900534828702107,NDUFAF7,NS,,#c4c4c4,bottom,,
ENSG00000003756,2144.47862720058,0.0056032906266426,0.0430540236599716,0.882674031411418,0.964854959479708,RBM5,NS,,#c4c4c4,bottom,,
ENSG00000003987,620.376151248214,-0.177760910936934,0.0584758115059483,0.000396352901920229,0.00916955175581158,MTMR7,NS,,#c4c4c4,bottom,,
