sample	group	guide_group_actual	guide_group	bio_group	layout	orig_filename	orig_filename_R2
sg100_N_TDP43kd_1_L1	TDP43kd	sg100_N_TDP43kd	sg100	sg100_N_TDP43kd_1	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_1_S1_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_1_S1_L001_R2_001.fastq.gz
sg100_N_TDP43kd_1_L2	TDP43kd	sg100_N_TDP43kd	sg100	sg100_N_TDP43kd_1	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_1_S1_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_1_S1_L002_R2_001.fastq.gz
sg100_N_TDP43kd_2_L1	TDP43kd	sg100_N_TDP43kd	sg100	sg100_N_TDP43kd_2	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_2_S2_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_2_S2_L001_R2_001.fastq.gz
sg100_N_TDP43kd_2_L2	TDP43kd	sg100_N_TDP43kd	sg100	sg100_N_TDP43kd_2	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_2_S2_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_2_S2_L002_R2_001.fastq.gz
sg100_N_TDP43kd_3_L1	TDP43kd	sg100_N_TDP43kd	sg100	sg100_N_TDP43kd_3	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_3_S3_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_3_S3_L001_R2_001.fastq.gz
sg100_N_TDP43kd_3_L2	TDP43kd	sg100_N_TDP43kd	sg100	sg100_N_TDP43kd_3	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_3_S3_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_3_S3_L002_R2_001.fastq.gz
sg100_N_TDP43kd_4_L1	TDP43kd	sg100_N_TDP43kd	sg100	sg100_N_TDP43kd_4	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_4_S4_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_4_S4_L001_R2_001.fastq.gz
sg100_N_TDP43kd_4_L2	TDP43kd	sg100_N_TDP43kd	sg100	sg100_N_TDP43kd_4	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_4_S4_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_4_S4_L002_R2_001.fastq.gz
sg100_N_TDP43kd_5_L1	TDP43kd	sg100_N_TDP43kd	sg100	sg100_N_TDP43kd_5	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_5_S5_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_5_S5_L001_R2_001.fastq.gz
sg100_N_TDP43kd_5_L2	TDP43kd	sg100_N_TDP43kd	sg100	sg100_N_TDP43kd_5	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_5_S5_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_5_S5_L002_R2_001.fastq.gz
sg100_S_TDP43kd_6_L1	TDP43kd	sg100_S_TDP43kd	sg100	sg100_S_TDP43kd_6	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_6_S6_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_6_S6_L001_R2_001.fastq.gz
sg100_S_TDP43kd_6_L2	TDP43kd	sg100_S_TDP43kd	sg100	sg100_S_TDP43kd_6	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_6_S6_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_6_S6_L002_R2_001.fastq.gz
sg100_S_TDP43kd_7_L1	TDP43kd	sg100_S_TDP43kd	sg100	sg100_S_TDP43kd_7	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_7_S7_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_7_S7_L001_R2_001.fastq.gz
sg100_S_TDP43kd_7_L2	TDP43kd	sg100_S_TDP43kd	sg100	sg100_S_TDP43kd_7	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_7_S7_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_7_S7_L002_R2_001.fastq.gz
sg100_S_TDP43kd_8_L1	TDP43kd	sg100_S_TDP43kd	sg100	sg100_S_TDP43kd_8	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_8_S8_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_8_S8_L001_R2_001.fastq.gz
sg100_S_TDP43kd_8_L2	TDP43kd	sg100_S_TDP43kd	sg100	sg100_S_TDP43kd_8	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_8_S8_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_8_S8_L002_R2_001.fastq.gz
sg100_S_TDP43kd_9_L1	TDP43kd	sg100_S_TDP43kd	sg100	sg100_S_TDP43kd_9	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_9_S9_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_9_S9_L001_R2_001.fastq.gz
sg100_S_TDP43kd_9_L2	TDP43kd	sg100_S_TDP43kd	sg100	sg100_S_TDP43kd_9	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_9_S9_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_9_S9_L002_R2_001.fastq.gz
sg100_S_TDP43kd_10_L1	TDP43kd	sg100_S_TDP43kd	sg100	sg100_S_TDP43kd_10	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_10_S10_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_10_S10_L001_R2_001.fastq.gz
sg100_S_TDP43kd_10_L2	TDP43kd	sg100_S_TDP43kd	sg100	sg100_S_TDP43kd_10	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_10_S10_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_10_S10_L002_R2_001.fastq.gz
sg200_N_TDP43kd_11_L1	TDP43kd	sg200_N_TDP43kd	sg200	sg200_N_TDP43kd_11	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_11_S11_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_11_S11_L001_R2_001.fastq.gz
sg200_N_TDP43kd_11_L2	TDP43kd	sg200_N_TDP43kd	sg200	sg200_N_TDP43kd_11	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_11_S11_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_11_S11_L002_R2_001.fastq.gz
sg200_N_TDP43kd_12_L1	TDP43kd	sg200_N_TDP43kd	sg200	sg200_N_TDP43kd_12	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_12_S12_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_12_S12_L001_R2_001.fastq.gz
sg200_N_TDP43kd_12_L2	TDP43kd	sg200_N_TDP43kd	sg200	sg200_N_TDP43kd_12	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_12_S12_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_12_S12_L002_R2_001.fastq.gz
sg200_N_TDP43kd_13_L1	TDP43kd	sg200_N_TDP43kd	sg200	sg200_N_TDP43kd_13	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_13_S13_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_13_S13_L001_R2_001.fastq.gz
sg200_N_TDP43kd_13_L2	TDP43kd	sg200_N_TDP43kd	sg200	sg200_N_TDP43kd_13	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_13_S13_L002_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_13_S13_L002_R2_001.fastq.gz
sg200_N_TDP43kd_14_L1	TDP43kd	sg200_N_TDP43kd	sg200	sg200_N_TDP43kd_14	PE	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_14_S14_L001_R1_001.fastq.gz	/data/CARD_ARDIS/TDP43kdRNAseq/NovaSeq221007notrebalanced_JR7961/JR-7961_14_S14_L001_R2_001.fastq.gz
