,module_id,gene_id,gene_name,seqid,strand,lsv_id,event_id,complex,module_event_combination,denovo,junction_name,junctions_coords,event_non_changing,event_changing,junction_changing,refPSI,KDSoma_median_psi,deltaPSI,prob,padjust,event,abs(deltaPSI)
1,ENSG00000132182.13_4,ENSG00000132182.13,NUP210,chr3,-,,ENSG00000132182.13_4_pA5_1,TRUE,tandem_cassette^1|putative_alt3^1|putative_alt5^1|ir^5|multi_exon_spanning^4,TRUE,Distal,chr3:13366091-13375504,FALSE,FALSE,TRUE,0.014,0.304,0.279,1,0,AFE/ALE,0.279
2,ENSG00000135596.18_4,ENSG00000135596.18,MICAL1,chr6,-,,ENSG00000135596.18_4_pA5_1,TRUE,cassette^6|tandem_cassette^1|alt3^1|alt5^1|putative_alt3^1|putative_alt5^2|ir^20|afe^3|multi_exon_spanning^8,TRUE,Distal,chr6:109447722-109448161,FALSE,FALSE,TRUE,0.007,0.138,0.111,0.976,0.012,AFE/ALE,0.111
3,ENSG00000150991.16_1,ENSG00000150991.16,UBC,chr12,-,,ENSG00000150991.16_1_pA5_1,TRUE,putative_alt3^6|putative_alt5^9|alt3_5^8|mxe^10|ir^44|multi_exon_spanning^33,TRUE,Proximal,chr12:124911822-124912279,FALSE,FALSE,FALSE,0.047,0.154,0.12,0.932,0.03,AFE/ALE,0.12
4,ENSG00000150991.16_1,ENSG00000150991.16,UBC,chr12,-,,ENSG00000150991.16_1_pA5_2,TRUE,putative_alt3^6|putative_alt5^9|alt3_5^8|mxe^10|ir^44|multi_exon_spanning^33,TRUE,Distal,chr12:124911822-124912735,FALSE,FALSE,TRUE,0.003,0.182,0.157,1,0,AFE/ALE,0.157
5,ENSG00000003096.14_1,ENSG00000003096.14,KLHL13,chrX,-,ENSG00000003096.14:s:117920134-117920370,ENSG00000003096.14_1_pALE_1,TRUE,cassette^1|alt5^1|afe^4|putative_ale^1|orphan_junc^9|multi_exon_spanning^1|other^1,TRUE,Distal,chrX:117914346-117920134,FALSE,TRUE,TRUE,0.004,0.221,0.198,0.997,0.001,AFE/ALE,0.198
6,ENSG00000005206.17_2,ENSG00000005206.17,SPPL2B,chr19,+,ENSG00000005206.17:t:2337443-2337935,ENSG00000005206.17_2_CE_1,TRUE,cassette^1|ir^2,FALSE,C2_A,chr19:2337333-2337443,FALSE,FALSE,TRUE,0.041,0.244,0.205,1,0,cassette,0.205
7,ENSG00000005379.17_10,ENSG00000005379.17,TSPOAP1,chr17,-,ENSG00000005379.17:s:58306182-58306429,ENSG00000005379.17_10_A5_1,TRUE,alt5^1|ir^2,TRUE,Proximal,chr17:58305865-58306182,FALSE,FALSE,TRUE,0.01,0.16,0.135,0.995,0.002,AFE/ALE,0.135
8,ENSG00000005884.18_4,ENSG00000005884.18,ITGA3,chr17,+,ENSG00000005884.18:s:50080262-50080375,ENSG00000005884.18_4_CE_1,FALSE,cassette^1,FALSE,C1_A,chr17:50080375-50081097,FALSE,FALSE,TRUE,0.043,0.301,0.258,1,0,cassette,0.258
9,ENSG00000010295.20_2,ENSG00000010295.20,IFFO1,chr12,-,ENSG00000010295.20:s:6549756-6550467,ENSG00000010295.20_2_CE_1,FALSE,cassette^1,FALSE,C1_A,chr12:6549484-6549756,FALSE,FALSE,FALSE,0.037,0.165,0.128,0.91,0.028,cassette,0.128
10,ENSG00000011347.10_1,ENSG00000011347.10,SYT7,chr11,-,ENSG00000011347.10:s:61551384-61551463,ENSG00000011347.10_1_CE_4,TRUE,cassette^4|tandem_cassette^1|putative_alt3^1|putative_alt5^1|ir^13|afe^2|multi_exon_spanning^12,TRUE,C1_A,chr11:61547620-61551384,FALSE,TRUE,TRUE,0,0.552,0.539,1,0,cassette,0.539
11,ENSG00000020426.11_3,ENSG00000020426.11,MNAT1,chr14,+,ENSG00000020426.11:s:60811986-60812127,ENSG00000020426.11_3_CE_1,TRUE,cassette^1|ir^4,TRUE,C1_A,chr14:60812127-60817918,FALSE,TRUE,TRUE,0.047,0.673,0.633,1,0,cassette,0.633
12,ENSG00000023171.20_2,ENSG00000023171.20,GRAMD1B,chr11,+,ENSG00000023171.20:s:123577367-123577577,ENSG00000023171.20_2_CE_1,TRUE,cassette^2|mxe^1|ir^3|multi_exon_spanning^2,FALSE,C1_A,chr11:123577577-123578410,FALSE,FALSE,TRUE,0.031,0.149,0.119,0.961,0.018,cassette,0.119
13,ENSG00000028277.22_1,ENSG00000028277.22,POU2F2,chr19,-,ENSG00000028277.22:t:42122511-42122576,ENSG00000028277.22_1_pAFE_1,FALSE,putative_afe^1,TRUE,Proximal,chr19:42122576-42130343,FALSE,TRUE,TRUE,0.002,0.344,0.32,1,0,AFE/ALE,0.32
14,ENSG00000028310.18_5,ENSG00000028310.18,BRD9,chr5,-,ENSG00000028310.18:s:883938-884070,ENSG00000028310.18_5_CE_1,TRUE,cassette^1|ir^2|other^1,FALSE,C1_C2,chr5:879889-883938,FALSE,FALSE,FALSE,0.002,0.143,-0.113,0.938,0.029,skipping,0.113
15,ENSG00000054654.20_1,ENSG00000054654.20,SYNE2,chr14,+,ENSG00000054654.20:t:63908823-63909227,ENSG00000054654.20_1_pAFE_1,FALSE,putative_afe^1,TRUE,Proximal,chr14:63853654-63909098,FALSE,FALSE,FALSE,0.039,0.164,0.123,0.932,0.027,AFE/ALE,0.123
16,ENSG00000055483.20_2,ENSG00000055483.20,USP36,chr17,-,ENSG00000055483.20:t:78836025-78836372,ENSG00000055483.20_2_pAFE_1,TRUE,ir^2|putative_afe^2,TRUE,Proximal,chr17:78836372-78836897,FALSE,FALSE,TRUE,0.019,0.195,0.163,0.996,0.001,AFE/ALE,0.163
17,ENSG00000058056.10_2,ENSG00000058056.10,USP13,chr3,+,ENSG00000058056.10:t:179706934-179707076,ENSG00000058056.10_2_A5_1,FALSE,alt5^1,FALSE,Proximal,chr3:179701179-179706934,FALSE,TRUE,TRUE,0.05,0.651,0.62,1,0,AFE/ALE,0.62
18,ENSG00000058404.20_2,ENSG00000058404.20,CAMK2B,chr7,-,ENSG00000058404.20:s:44258872-44258926,ENSG00000058404.20_2_CE_1,TRUE,cassette^4|tandem_cassette^1|alt3^1|alt5^1|ir^6|multi_exon_spanning^1|other^1,TRUE,C1_A,chr7:44258514-44258872,FALSE,FALSE,TRUE,0.001,0.311,0.289,1,0,cassette,0.289
19,ENSG00000058404.20_2,ENSG00000058404.20,CAMK2B,chr7,-,ENSG00000058404.20:s:44258872-44258926,ENSG00000058404.20_2_CE_2,TRUE,cassette^4|tandem_cassette^1|alt3^1|alt5^1|ir^6|multi_exon_spanning^1|other^1,TRUE,C1_A,chr7:44258610-44258872,FALSE,FALSE,TRUE,0.002,0.227,0.204,1,0,cassette,0.204
20,ENSG00000058404.20_6,ENSG00000058404.20,CAMK2B,chr7,-,ENSG00000058404.20:t:44220826-44220953,ENSG00000058404.20_6_afe_1,TRUE,ir^3|ale^1|afe^2|putative_afe^2|multi_exon_spanning^1,TRUE,Proximal,chr7:44220901-44222117,FALSE,TRUE,TRUE,0,0.395,0.378,1,0,AFE/ALE,0.378
21,ENSG00000058404.20_2,ENSG00000058404.20,CAMK2B,chr7,-,ENSG00000058404.20:t:44254542-44254607,ENSG00000058404.20_2_A5_1,TRUE,cassette^4|tandem_cassette^1|alt3^1|alt5^1|ir^6|multi_exon_spanning^1|other^1,TRUE,Distal,chr7:44254607-44258490,FALSE,FALSE,TRUE,0.004,0.5,0.48,1,0,AFE/ALE,0.48
22,ENSG00000059915.17_1,ENSG00000059915.17,PSD,chr10,-,ENSG00000059915.17:s:102418701-102418785,ENSG00000059915.17_1_CE_1,TRUE,cassette^3|tandem_cassette^2|alt5^1|ir^6|afe^10|putative_afe^3|multi_exon_spanning^4,TRUE,C1_A,chr10:102418046-102418701,FALSE,FALSE,TRUE,0,0.408,0.394,1,0,cassette,0.394
