gene_symbol,PASid,RED,pvalue,p_adj,APAreg,Significance
AAK1,chr2:69829981:-,-0.400994429727953,0.122111535536905,0.273822457107179,NC,NS
AAK1,chr2:69862096:-,-0.255035596488277,0.790084071884886,0.878101907025134,NC,NS
AAK1,chr2:69869958:-,0.188003220705566,0.249357864932224,0.435838854439728,NC,NS
AAMDC,chr11:77597574:+,2.06504590796142,0.000457112066812342,0.00453940268797726,UP,IPA activation in Neurites
AAMDC,chr11:77606603:+,1.94246420465268,0.00138680919157206,0.0100719604868502,UP,IPA activation in Neurites
AASDHPPT,chr11:105962205:+,0.136925624470117,0.0704998042113961,0.185734730532027,NC,NS
ABCA3,chr16:2382235:-,1.26943617557592,0.198153092137632,0.372426784991006,NC,NS
ABCA3,chr16:2385966:-,2.25676466830136,0.0977862078053869,0.233248866265202,NC,NS
ABCA3,chr16:2386779:-,1.36667815780658,0.201842630551738,0.375876861945947,NC,NS
ABHD12,chr20:25348699:-,-0.847116391235963,0.597070707169662,0.73889777748921,NC,NS
ABHD17C,chr15:81029749:+,0.579769165235013,0.845277024211111,0.911797384130186,NC,NS
ABHD17C,chr15:81032098:+,2.0644326673515,0.303180721938719,0.494230282396585,NC,NS
ABL2,chr1:179145838:-,0.212897708929312,0.888045682054826,0.935938983946022,NC,NS
ABLIM1,chr10:116271134:-,1.80210067560705,0.557157111500187,0.708050797743512,NC,NS
ABLIM2,chr4:8147849:-,1.38827208422535,0.277254236567518,0.465534546286247,NC,NS
ABLIM2,chr4:8147875:-,1.38297420261613,0.278235515197911,0.466538255324961,NC,NS
ABR,chr17:948233:-,0.823382492918118,0.132221119420607,0.290468608171861,NC,NS
ACACA,chr17:35500498:-,-1.72197785942237,0.479197058731899,0.637444747892132,NC,NS
ACAP2,chr3:195000420:-,0.606364367708926,0.186985442608291,0.363077080499578,NC,NS
ACAT1,chr11:108009778:+,-0.505227515810114,0.0817703610375144,0.205843029906128,NC,NS
ACBD3,chr1:226352489:-,0.897354730969751,0.0607690052088089,0.168779668576521,NC,NS
ACBD5,chr10:27484146:-,-0.990877769926215,0.0971535247329963,0.23230911614288,NC,NS
ACBD5,chr10:27484414:-,-1.04537556893975,0.109792272668803,0.251293132082031,NC,NS
ACBD5,chr10:27484694:-,-1.03875492028086,0.108159978099104,0.248962371537483,NC,NS
ACBD5,chr10:27485737:-,-1.32184909341202,0.0909295592546951,0.222231660137291,NC,NS
ACBD5,chr10:27485926:-,-1.27731783829765,0.0952380055977629,0.228969689126081,NC,NS
ACBD6,chr1:180386147:-,2.72086354325399,0.189234120277876,0.364678506642433,NC,NS
ACOX3,chr4:8430943:-,-0.562387409269628,0.101502431872613,0.239036058882091,NC,NS
ACSS2,chr20:33470799:+,0.749378300123416,0.186241068995527,0.362420360169629,NC,NS
ACTG1,chr17:79477461:-,0,,1,NC,NS
ACTG1,chr17:79477502:-,0,,1,NC,NS
ACTN4,chr19:39152035:+,0.133008319029572,0.832762757278345,0.905524821657302,NC,NS
ACTR10,chr14:58675906:+,0.300125908963774,0.168916266127595,0.34463167755844,NC,NS
ACTR10,chr14:58690635:+,1.12635424182283,0.00127222206836401,0.00943693991563914,UP,IPA activation in Neurites
ACTR3C,chr7:149920092:-,-2.84240338305481,0.06947650533959,0.183735149446981,NC,NS
ACVR2A,chr2:148683787:+,0.351097105457165,0.0593996667073691,0.166802269020358,NC,NS
ACYP2,chr2:54272501:+,-0.739722748008485,0.410832276681335,0.576874225104049,NC,NS
ACYP2,chr2:54280981:+,-0.687528351764982,0.0171674318198547,0.0675863456597193,DN,NS
ACYP2,chr2:54281749:+,-0.856348325673213,0.0334232834281081,0.109667354623508,DN,NS
ACYP2,chr2:54329811:+,3.47053107315524,0.199809210991681,0.374183667995343,NC,NS
ACYP2,chr2:54336128:+,1.31603521874574,0.391002218955771,0.55762508717432,NC,NS
ADAM10,chr15:59019376:-,0.413965510664414,0.868981194616679,0.926278749836749,NC,NS
ADAM22,chr7:87600990:+,0,,1,NC,NS
ADAP1,chr7:944810:-,0,,1,NC,NS
ADARB1,chr21:46643201:+,1.62019590961066,0.299450484795231,0.490354413618934,NC,NS
ADARB1,chr21:46645351:+,0.0365349708409104,0.391002218955771,0.55762508717432,NC,NS
ADARB2,chr10:1247110:-,3.17705743963241,0.0966493475294177,0.231444746593576,NC,NS
ADARB2,chr10:1332211:-,-2.54350596833679,0.41514824199544,0.580658621888419,NC,NS
ADARB2,chr10:1340916:-,2.241566563392,0.100721394970535,0.238148837670857,NC,NS
ADARB2,chr10:1372125:-,1.10389525183629,0.538710740479047,0.692933244295809,NC,NS
ADARB2,chr10:1424521:-,0.0076337629431853,0.994502476750057,0.995935182520226,NC,NS
ADARB2,chr10:1535925:-,0.635105493421583,0.348656333778485,0.54152550104163,NC,NS
ADARB2,chr10:1555430:-,0.715169094167422,0.273834043032483,0.462147887645242,NC,NS
ADARB2,chr10:1565334:-,0.724201168920414,0.294345016442206,0.484017424075978,NC,NS
ADARB2,chr10:1613290:-,0.749326494149098,0.298347149916861,0.488968908383725,NC,NS
ADARB2,chr10:1672833:-,0.776399445908631,0.253547083685599,0.440636067028682,NC,NS
ADARB2,chr10:1684646:-,0.73950526249466,0.277223071707768,0.465534546286247,NC,NS
ADARB2,chr10:1685181:-,0.760598867722968,0.268051895839287,0.455588340345454,NC,NS
ADARB2,chr10:1699256:-,0.714276613660043,0.269936433872871,0.457350517836139,NC,NS
ADARB2,chr10:1747284:-,-0.707007686803907,0.430608771680757,0.594086272469114,NC,NS
ADARB2,chr10:1769700:-,0.130617073056345,0.831819052380966,0.90490308716427,NC,NS
ADCY2,chr5:7476349:+,1.36272081263667,0.488393501153984,0.646321124997358,NC,NS
ADCY3,chr2:25117691:-,0.341938230939125,0.83907251678321,0.908403074992321,NC,NS
ADCY9,chr16:4031544:-,0.871003994489574,0.00757256321794458,0.0367012874686437,UP,IPA activation in Neurites
ADD1,chr4:2906775:+,0.127631361922592,0.607058299845924,0.748023724246712,NC,NS
ADD2,chr2:70902223:-,-1.09861410115963,0.391002218955771,0.55762508717432,NC,NS
ADGRA3,chr4:22399488:-,1.01274403182917,0.00882872545008292,0.0406823655682798,UP,IPA activation in Neurites
ADGRB3,chr6:69515372:+,-0.887043788412315,0.224419253891984,0.4032585263805,NC,NS
ADGRB3,chr6:69600486:+,-1.6109080317459,0.176676210524986,0.354957242119975,NC,NS
ADGRB3,chr6:69605654:+,0.0309050832118598,0.98179153443654,0.989929052334895,NC,NS
ADGRB3,chr6:69750601:+,7.1960357408194,0.110856438246102,0.253252313852362,NC,NS
ADGRB3,chr6:70058711:+,0.175030033276566,0.769931675462384,0.864441055099206,NC,NS
ADGRL1,chr19:14295459:-,0.750299987943515,0.470292316258876,0.630772439612924,NC,NS
ADGRL2,chr1:82286122:+,2.24168833717445,0.210385289704617,0.385587502712869,NC,NS
ADGRL2,chr1:82452757:+,1.11966610129224,0.000218718688038104,0.00267408325626486,UP,IPA activation in Neurites
ADGRL3,chr4:62313639:+,-0.728590006286844,0.19181340396676,0.366852935046431,NC,NS
ADGRL3,chr4:62332429:+,-1.6377403122861,0.0602477975358066,0.167907092101509,NC,NS
ADGRL3,chr4:62381322:+,3.31261452353555,0.186043661381841,0.362420360169629,NC,NS
ADGRL3,chr4:62495484:+,1.00061330219513,0.583905895532675,0.728908693602359,NC,NS
ADGRL3,chr4:62599367:+,1.93740537256282,3.46539085198387e-07,6.40482010851583e-05,UP,IPA activation in Neurites
ADGRL3,chr4:62615925:+,3.45518316558599,0.000634718310280914,0.00568791767555604,UP,IPA activation in Neurites
ADK,chr10:75929360:+,-0.543753487463516,0.746420028125207,0.848601118560858,NC,NS
ADK,chr10:76004896:+,3.09571921521401,0.106382414670795,0.246372469778052,NC,NS
ADK,chr10:76008835:+,4.41804922233155,0.0148366251258462,0.0605155220975421,UP,NS
ADK,chr10:76101490:+,0,,1,NC,NS
ADK,chr10:76102029:+,0,,1,NC,NS
ADK,chr10:76308018:+,3.06390834036332,0.205139272488575,0.378899884598613,NC,NS
AFDN,chr6:168363791:+,0.917300696888747,0.00943684006575929,0.0429313410518197,UP,IPA activation in Neurites
AFDN,chr6:168364977:+,1.26246062878712,0.00268229570536953,0.0164798622504143,UP,IPA activation in Neurites
AFDN,chr6:168365088:+,1.10103339365848,0.00478846235404973,0.0259184180364917,UP,IPA activation in Neurites
AFDN,chr6:168365504:+,0.756923493605341,0.0234602629286507,0.084609006128838,UP,NS
AFDN,chr6:168365709:+,0.800138885987615,0.0170367390037735,0.0672350137813153,UP,NS
AFDN,chr6:168365790:+,0.812737467294298,0.0302924343552902,0.102363184425585,UP,NS
AFF1,chr4:87921754:+,3.14075716403877,0.0710546381522116,0.186791933683772,NC,NS
AFF1,chr4:87994466:+,0.927247862701737,0.391002218955771,0.55762508717432,NC,NS
AFF3,chr2:100441940:-,-0.505526120296929,0.729092025371356,0.837328722080958,NC,NS
AFF3,chr2:100622272:-,6.66595642601686,0.00633324731727066,0.0323374411813631,UP,IPA activation in Neurites
AFF3,chr2:100622395:-,5.13539733926235,0.0170790233283706,0.0673472670306737,UP,NS
AFF4,chr5:132248920:-,0,,1,NC,NS
AGAP1,chr2:236416210:+,-3.47862031573567,0.089463690913375,0.219420524185727,NC,NS
AGAP1,chr2:236639142:+,-0.49574636788474,0.343001252708451,0.536933151883998,NC,NS
AGAP1,chr2:236716770:+,3.00345290202373,0.00487491874543969,0.0262694956980172,UP,IPA activation in Neurites
AGAP1,chr2:236822070:+,-0.893402541053486,0.278006061883217,0.466314201007837,NC,NS
AGAP1,chr2:236822769:+,-1.90435978960908,0.549062441009736,0.701243527021884,NC,NS
AGAP1,chr2:236919445:+,-3.3051066419756,0.195818851845104,0.370040595370204,NC,NS
AGAP1,chr2:236988033:+,0.0258092727753674,0.949350866332651,0.969384405488963,NC,NS
AGAP1,chr2:237009584:+,-0.642972931400042,0.145950448313099,0.312999066325051,NC,NS
AGAP1,chr2:237009905:+,-0.622669306926074,0.143870739632729,0.309767707545513,NC,NS
AGAP1,chr2:237011498:+,-0.56830462553287,0.157400987896144,0.328577094424126,NC,NS
AGAP3,chr7:150802212:+,-1.92585582165787,0.240657379237454,0.424366679454368,NC,NS
AGAP3,chr7:150820725:+,1.79065151419242,0.000454477966849059,0.00452247400140597,UP,IPA activation in Neurites
AGBL4,chr1:49193195:-,-0.583259360544858,0.0693883013844875,0.183601671852592,NC,NS
AGBL4,chr1:49193539:-,-0.588171684328001,0.0733989853668109,0.191814963907036,NC,NS
AGBL4,chr1:49222324:-,-0.524820278059662,0.483295753985521,0.641494036795839,NC,NS
AGBL4,chr1:49358035:-,-1.13867350956384,0.0533518918130034,0.155828514743142,NC,NS
AGBL4,chr1:49871071:-,0.425310302095935,0.522267872216001,0.678780840332014,NC,NS
