#ID	transcript_length	peptide_length	Fickett_score	pI	ORF_integrity	coding_probability	label
ENST00000001008	3715	460	0.40164	5.348685646057128	1	1	coding
ENST00000002125	2184	442	0.47275	8.465682029724121	1	1	coding
ENST00000005257	2787	207	0.34624	6.659392738342286	1	0.987111	coding
ENST00000005558	1834	452	0.47263999999999995	6.804957389831543	1	1	coding
ENST00000012443	2139	500	0.46089	5.884336280822754	1	1	coding
ENST00000016946	7268	1766	0.4929	6.025183296203613	1	1	coding
ENST00000039989	4488	1142	0.4484	6.114193153381346	1	1	coding
ENST00000045347	1410	459	0.44654	8.765331077575684	1	1	coding
ENST00000054666	2178	101	0.4071	8.887305259704593	1	0.338256	noncoding
ENST00000081029	1829	324	0.42284	8.405468559265142	1	0.999995	coding
ENST00000157812	1754	419	0.44605	5.0896703720092775	1	1	coding
ENST00000161863	6305	1431	0.47430999999999995	8.675139808654787	1	1	coding
ENST00000178640	2344	449	0.42850000000000005	5.97641544342041	1	1	coding
ENST00000196551	741	205	0.47857	9.73377513885498	1	0.998874	coding
ENST00000205402	3537	510	0.43774	7.952771568298339	1	1	coding
ENST00000206451	965	250	0.45627999999999996	5.777592658996581	1	0.999968	coding
ENST00000215473	4595	1054	0.47228	4.887209892272949	1	1	coding
ENST00000216277	4515	746	0.42696	6.962856101989746	1	1	coding
ENST00000216288	2911	714	0.43232	9.570283317565917	1	1	coding
ENST00000216727	1811	307	0.4184	5.035616493225096	1	0.999999	coding
ENST00000216832	3537	718	0.40447	6.71071834564209	1	1	coding
ENST00000216877	3725	794	0.42054	6.136871910095214	1	1	coding
ENST00000217800	2289	650	0.47268	8.246940803527831	1	1	coding
ENST00000219343	6255	516	0.34404	5.628049278259277	1	1	coding
ENST00000219473	3328	804	0.44793000000000005	5.262006187438964	1	1	coding
ENST00000220822	3645	359	0.38383999999999996	8.484829139709475	1	0.999996	coding
ENST00000220847	3297	992	0.51182	6.444029808044433	1	1	coding
ENST00000220853	3527	298	0.3118	6.152616310119628	1	0.99976	coding
ENST00000221166	3271	917	0.46175999999999995	4.897611427307129	1	1	coding
ENST00000221975	500	72	0.45882	11.000063133239745	1	0.268472	noncoding
ENST00000222644	8346	541	0.33564000000000005	5.823461723327637	1	1	coding
ENST00000222792	3167	469	0.43	7.044874763488769	1	1	coding
ENST00000223122	1777	364	0.42860000000000004	6.167508125305175	1	1	coding
ENST00000223145	4741	548	0.32831	9.543142127990723	1	1	coding
ENST00000225577	5428	526	0.36573	6.211160469055175	1	1	coding
ENST00000225719	9372	1381	0.41511	5.675964546203613	1	1	coding
ENST00000226328	4233	470	0.40214	5.361474418640137	1	1	coding
ENST00000226725	3185	594	0.42174	6.302955436706544	1	1	coding
ENST00000227758	3764	619	0.40395000000000003	6.2730012893676745	1	1	coding
ENST00000227868	2500	502	0.46753	8.803560829162599	1	1	coding
ENST00000229195	2844	541	0.40237999999999996	7.22908992767334	1	1	coding
ENST00000229277	2294	435	0.48567999999999995	4.908069801330566	1	1	coding
ENST00000229570	2405	98	0.31109	9.300225257873535	1	0.0986282	noncoding
ENST00000230124	3025	908	0.46284000000000003	6.455852317810058	1	1	coding
ENST00000230354	1861	340	0.44927000000000006	9.802369499206542	1	0.999998	coding
ENST00000230480	993	164	0.36585999999999996	7.464119148254395	1	0.892801	coding
ENST00000230640	3961	1043	0.45905999999999997	6.123855781555174	1	1	coding
ENST00000231368	12134	1026	0.31035	5.501809883117674	1	1	coding
ENST00000231572	2122	661	0.46959000000000006	6.257427406311035	1	1	coding
ENST00000232519	690	129	0.43755	5.6671545028686525	1	0.900784	coding
ENST00000232978	7265	1463	0.38986	10.00557384490967	1	1	coding
ENST00000233336	14267	378	0.2908	6.282550239562989	1	0.999983	coding
ENST00000233575	2357	471	0.43724999999999997	7.066985130310059	1	1	coding
ENST00000233893	557	103	0.48528000000000004	8.89065761566162	1	0.694683	coding
ENST00000234142	8444	1950	0.46817000000000003	6.493252372741699	1	1	coding
ENST00000234256	4563	533	0.45711999999999997	5.882005882263183	1	1	coding
ENST00000234420	4265	1361	0.4802200000000001	6.497742652893066	1	1	coding
ENST00000235307	10293	122	0.28923	5.169927024841307	1	0.533686	coding
ENST00000235329	4407	758	0.46664999999999995	6.52206974029541	1	1	coding
ENST00000236925	7161	1490	0.46588999999999997	6.357179832458496	1	1	coding
ENST00000237163	7995	2477	0.49498	5.856087303161621	1	1	coding
ENST00000237264	4199	187	0.29519	9.611091804504394	1	0.605894	coding
ENST00000238714	7348	737	0.33289	9.211129951477051	1	1	coding
ENST00000238961	6892	1174	0.40274	9.087221717834474	1	1	coding
ENST00000240139	2194	513	0.43093	6.508712577819824	1	1	coding
ENST00000240304	1972	433	0.40155	9.805077171325681	1	1	coding
ENST00000241337	1166	219	0.47589	5.993069267272949	1	0.999725	coding
ENST00000241416	5214	514	0.33289	5.608780860900879	1	1	coding
ENST00000242810	7331	601	0.33419	5.982156181335449	1	1	coding
ENST00000243498	1587	440	0.4625	5.18930912017822	1	1	coding
ENST00000243964	6026	1117	0.45265999999999995	5.905594062805175	1	1	coding
ENST00000245539	1204	243	0.4837	9.99925594329834	1	0.999884	coding
ENST00000246015	2042	264	0.38785000000000003	5.983349800109862	1	0.999929	coding
ENST00000246071	2411	226	0.34130000000000005	9.716562080383298	1	0.960832	coding
ENST00000246314	3211	627	0.42732	9.208486747741699	1	1	coding
ENST00000247026	2506	559	0.43429999999999996	8.902390861511233	1	1	coding
ENST00000247833	9333	461	0.29583000000000004	5.6207170486450195	1	1	coding
ENST00000248594	3384	781	0.45151	5.401773262023925	1	1	coding
ENST00000249209	852	150	0.43195	10.081001853942869	1	0.916378	coding
ENST00000249299	12384	97	0.28159	4.336440086364747	1	0.408825	noncoding
ENST00000249636	7980	652	0.34287	6.90118579864502	1	1	coding
ENST00000249700	9150	352	0.38852000000000003	5.2057924270629865	1	1	coding
ENST00000249786	2543	99	0.34496	11.999967765808105	1	0.100272	noncoding
ENST00000250101	1917	124	0.35267	5.399613380432128	1	0.660835	coding
ENST00000250416	1886	584	0.47264000000000006	9.017853736877441	1	1	coding
ENST00000251472	4853	1571	0.46114999999999995	8.66585636138916	1	1	coding
ENST00000252934	3294	476	0.45	5.120420265197754	1	1	coding
ENST00000253039	3457	473	0.45056999999999997	8.657475471496582	1	1	coding
